pid,public.0,boolean.0,add.0,Date.0,date.0,if.0,dates.0,contains.0,date.1,return.0,FALSE.0,boolean.1,added.0,=.0,FALSE.1,for.0,int.0,i.0,=.1,0.0,i.1,<.0,dates.1,size.0,&&.0,added.1,i.2,Date.1,nextDate.0,=.2,dates.2,get.0,i.3,if.1,date.2,before.0,nextDate.1,dates.3,add.1,i.4,date.3,added.2,=.3,TRUE.0,if.2,added.3,dates.4,add.2,date.4,return.1,TRUE.1,code,participant_summary
129,0,1,6,6,0,0,0,3,0,3,3,0,4,2,2,0,0,0,0,1,0,0,5,2,0,0,0,0,4,0,2,0,0,0,5,6,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,40,20
111,1,19,6,0,0,0,1,0,0,0,0,14,3,0,8,2,4,0,2,0,3,0,8,0,0,0,0,3,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4
313,3,9,5,4,0,1,8,3,0,3,0,6,0,0,1,1,5,1,0,1,1,0,2,4,3,8,0,4,3,2,15,0,0,4,9,15,7,10,7,1,0,5,1,1,0,1,5,4,0,0,0,38,75
315,0,0,5,0,1,0,7,18,2,7,25,0,2,0,1,0,0,6,2,2,2,0,5,6,2,2,0,0,18,2,2,8,0,0,1,5,1,4,12,3,2,4,1,9,0,0,0,4,0,0,2,64,81
133,0,7,7,6,0,0,28,14,0,8,2,3,5,0,3,0,10,3,1,2,3,2,25,0,2,0,0,2,6,0,6,0,0,0,15,20,0,15,14,1,0,3,0,4,0,5,17,5,0,6,0,55,111
143,0,2,4,6,0,0,10,13,0,4,7,0,7,0,5,0,2,0,0,0,0,0,5,3,3,1,0,0,0,0,0,1,0,0,5,1,0,4,3,0,0,0,0,0,0,0,9,2,0,2,0,41,36
311,1,31,13,9,0,0,8,3,0,10,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,7,0,5,0,0,0,1,0,0,1,0,2,0,0,0,0,40,32
314,0,2,5,0,2,0,1,1,0,9,2,0,5,0,4,0,0,1,0,2,0,0,8,0,0,0,0,0,22,0,12,1,0,0,12,10,3,0,2,0,0,3,0,0,0,2,1,0,0,0,0,49,19
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14
318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17
147,0,14,12,7,0,0,5,0,0,1,0,2,2,0,0,0,1,0,2,0,0,0,4,1,1,1,0,0,3,0,2,0,0,0,3,4,0,7,5,0,0,0,0,0,0,6,2,1,0,1,1,19,48
191,0,2,3,0,0,0,1,0,0,2,2,0,1,1,1,0,4,0,0,2,0,0,15,0,0,0,0,0,5,0,4,0,0,0,0,7,0,5,7,2,0,3,1,3,0,1,17,3,0,0,0,35,78
189,0,0,2,2,1,0,1,7,4,5,15,0,0,1,2,0,2,0,0,4,1,0,0,0,0,0,0,2,21,1,3,1,0,0,3,5,13,3,0,1,0,0,0,1,0,0,5,11,0,0,2,62,22
