,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,updateSchema.0,String.0,kind.0,SchemaTO.0,schemaTO.0,try.0,restTemplate.0,postForObject.0,baseURL.0,+.0,"""schema/"".0",+.1,kind.1,+.2,"""/update"".0",schemaTO.1,SchemaTO.1,class.0,catch.0,SyncopeClientCompositeErrorException.0,e.0,LOG.0,error.0,"""While updating a user schema"".100",e.1,code,participant_summary
0,136,updateSchema,4627680,1211335109083,19849501735,1,1,"(0.22956962883472443, 0.2888185977935791)","(0.22678594291210175, 0.2541884183883667)",1,1,2.5700225830078125,2.5399322509765625,Fixation,POINT (0.2281777858734131 0.2715035080909729),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335117416,19849510068,1,1,"(0.23318517208099365, 0.29442334175109863)","(0.22371433675289154, 0.25919729471206665)",1,1,2.56219482421875,2.55242919921875,Fixation,POINT (0.2284497544169426 0.2768103182315826),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335125749,19849518401,1,1,"(0.23788991570472717, 0.2974559962749481)","(0.22115200757980347, 0.2565692365169525)",1,1,2.576400756835937,2.55322265625,Fixation,POINT (0.2295209616422653 0.2770126163959503),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335134083,19849526735,1,1,"(0.23638415336608887, 0.2910080850124359)","(0.224266916513443, 0.25745850801467896)",1,1,2.5620574951171875,2.54058837890625,Fixation,POINT (0.2303255349397659 0.2742332965135574),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335142416,19849535068,1,1,"(0.23442937433719635, 0.28716418147087097)","(0.22879478335380554, 0.26141202449798584)",1,1,2.556991577148437,2.562164306640625,Fixation,POINT (0.231612078845501 0.2742881029844284),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335150749,19849543401,1,1,"(0.2194289267063141, 0.29973089694976807)","(0.21745198965072632, 0.2614150047302246)",1,1,2.56292724609375,2.562118530273437,Fixation,POINT (0.2184404581785202 0.2805729508399963),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335167418,19849560070,1,1,"(0.18735374510288239, 0.28155338764190674)","(0.18429014086723328, 0.2633344531059265)",1,1,2.5450439453125,2.521224975585937,Fixation,POINT (0.1858219429850578 0.2724439203739166),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335175751,19849568403,1,1,"(0.1710013449192047, 0.2764945328235626)","(0.17316538095474243, 0.2658322751522064)",1,1,2.5574188232421875,2.5043487548828125,Fixation,POINT (0.1720833629369736 0.2711634039878845),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335184083,19849576735,1,1,"(0.17339631915092468, 0.28528767824172974)","(0.1742088496685028, 0.2608400285243988)",1,1,2.55755615234375,2.5398101806640625,Fixation,POINT (0.1738025844097138 0.2730638533830643),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335192418,19849585070,1,1,"(0.1750931739807129, 0.28172871470451355)","(0.17273686826229095, 0.2613019049167633)",1,1,2.53521728515625,2.5224609375,Fixation,POINT (0.1739150211215019 0.2715153098106384),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
