,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,protected.0,String.0,fetchString.0,int.0,register.0,int.1,len.0,int.2,ret.0,=.0,getData.0,register.1,byteBuff.0,8.0,char.0,[].0,charBuff.0,=.1,new.0,char.1,len.1,for.0,int.3,i.0,=.2,0.0,i.1,<.0,len.2,i.2,charBuff.1,i.3,=.3,byteBuff.1,i.4,==.0,0.1,?.0,' '.0,:.0,char.2,byteBuff.2,i.5,].0,return.0,new.1,String.1,charBuff.2,0.2,len.3,prewritten,accurate,missing,unnecessary,readable,code
0,136,fetchString,24245709,1210630723575,19145118818,1,1,"(0.5399932265281677, 0.10476313531398773)","(0.5275644659996033, 0.13661760091781616)",1,1,2.6048736572265625,2.703948974609375,Fixation,POINT (0.5337788462638855 0.120690368115902),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,fetchString,24245709,1210630731909,19145127152,1,1,"(0.5378715395927429, 0.10275975614786148)","(0.5267963409423828, 0.137432262301445)",1,1,2.614227294921875,2.69976806640625,Fixation,POINT (0.5323339402675629 0.1200960092246532),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,fetchString,24245709,1210630740242,19145135485,1,1,"(0.5370320677757263, 0.10444101691246033)","(0.5286621451377869, 0.13974063098430634)",1,1,2.5987701416015625,2.707870483398437,Fixation,POINT (0.5328471064567566 0.1220908239483833),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,fetchString,24245709,1210630748575,19145143818,1,1,"(0.5365132093429565, 0.09901576489210129)","(0.5304519534111023, 0.13547345995903015)",1,1,2.601104736328125,2.70947265625,Fixation,POINT (0.5334825813770294 0.1172446124255657),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,fetchString,24245709,1210630756913,19145152156,1,1,"(0.5309796929359436, 0.10758297890424728)","(0.5285177826881409, 0.13183705508708954)",1,1,2.622528076171875,2.70013427734375,Fixation,POINT (0.5297487378120422 0.1197100169956684),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,fetchString,24245709,1210630765246,19145160489,1,1,"(0.5316494107246399, 0.11176948249340057)","(0.5294036865234375, 0.13505476713180542)",1,1,2.6274566650390625,2.704681396484375,Fixation,POINT (0.5305265486240387 0.123412124812603),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,fetchString,24245709,1210630773579,19145168822,1,1,"(0.5321500301361084, 0.10607245564460754)","(0.5300467014312744, 0.13544020056724548)",1,1,2.6239166259765625,2.697845458984375,Fixation,POINT (0.5310983657836914 0.1207563281059265),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,fetchString,24245709,1210630781913,19145177156,1,1,"(0.5372777581214905, 0.10805562138557434)","(0.5306124091148376, 0.13299274444580078)",1,1,2.6042633056640625,2.68170166015625,Fixation,POINT (0.5339450836181641 0.1205241829156876),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,fetchString,24245709,1210630790246,19145185489,1,1,"(0.538199782371521, 0.11147615313529968)","(0.5305336117744446, 0.13532228767871857)",1,1,2.609893798828125,2.68927001953125,Fixation,POINT (0.5343666970729828 0.1233992204070091),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,fetchString,24245709,1210630798579,19145193822,1,1,"(0.5340518951416016, 0.11060243844985962)","(0.5284330248832703, 0.132847398519516)",1,1,2.613922119140625,2.6914825439453125,Fixation,POINT (0.5312424600124359 0.1217249184846878),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
