,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,BFSdist.0,Node.0,n.0,Vector.0,ToDo.0,int.0,indirConn.0,Node.1,n2.0,=.0,nan.0,for.0,Enumeration.0,es.0,=.1,n.1,adjEdges.0,elements.0,es.1,hasMoreElements.0,n2.1,=.2,n.2,adjNode.0,Edge.0,es.2,nextElement.0,if.0,n2.2,dist.0,<.0,0.0,n2.3,dist.1,=.3,n.3,dist.2,+.0,1.0,indirConn.1,n2.4,dist.3,++.0,// important add adds to the end of the list.200,ToDo.1,add.0,n2.5,if.1,ToDo.2,isEmpty.0,n2.6,=.4,Node.2,ToDo.3,remove.0,0.1,BFSdist.1,n2.7,ToDo.4,indirConn.2,code,participant_summary
0,136,BFSdist,44521080,1212082221592,20596611274,1,1,"(0.9113888740539551, 0.3765850067138672)","(0.9144634008407593, 0.40038564801216125)",1,1,2.61309814453125,2.537506103515625,Fixation,POINT (0.9129261374473572 0.3884853273630142),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082229926,20596619607,1,1,"(0.9061174392700195, 0.37214022874832153)","(0.9232572913169861, 0.3889302909374237)",1,1,2.6175689697265625,2.5410614013671875,Fixation,POINT (0.9146873652935028 0.3805352598428726),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082238260,20596627941,1,1,"(0.9001913666725159, 0.35597172379493713)","(0.9132920503616333, 0.39669209718704224)",1,1,2.6336669921875,2.55242919921875,Fixation,POINT (0.9067417085170746 0.3763319104909897),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082246593,20596636274,1,1,"(0.9045550227165222, 0.357968270778656)","(0.9115077257156372, 0.407733678817749)",1,1,2.620361328125,2.540496826171875,Fixation,POINT (0.9080313742160797 0.3828509747982025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082254926,20596644607,1,1,"(0.9073830842971802, 0.36635586619377136)","(0.9245123267173767, 0.4061518609523773)",1,1,2.6396636962890625,2.5489959716796875,Fixation,POINT (0.9159477055072784 0.3862538635730743),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082263260,20596652941,1,1,"(0.9059198498725891, 0.3639947175979614)","(0.9183518290519714, 0.3967832326889038)",1,1,2.605926513671875,2.5433349609375,Fixation,POINT (0.9121358394622803 0.3803889751434326),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082271593,20596661274,1,1,"(0.9006292223930359, 0.3513103723526001)","(0.9100655913352966, 0.38533470034599304)",1,1,2.6193084716796875,2.5156402587890625,Fixation,POINT (0.9053474068641663 0.3683225363492966),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082279926,20596669607,1,1,"(0.9068989753723145, 0.3611776530742645)","(0.9172707796096802, 0.39812061190605164)",1,1,2.635604858398437,2.5232696533203125,Fixation,POINT (0.9120848774909973 0.3796491324901581),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082288260,20596677941,1,1,"(0.9095278382301331, 0.3515470027923584)","(0.9246591925621033, 0.4014264941215515)",1,1,2.6168975830078125,2.53680419921875,Fixation,POINT (0.9170935153961182 0.376486748456955),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082296593,20596686274,1,1,"(0.9124057292938232, 0.36907848715782166)","(0.9177281856536865, 0.3915240466594696)",1,1,2.629135131835937,2.534530639648437,Fixation,POINT (0.9150669574737549 0.3803012669086456),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
