,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,String.0,getUserNameFromCookie.0,throws.0,Exception.0,String.1,userName.0,=.0,nan.0,// get user name.200,Cookie.0,cookies.0,=.1,servletRequest.0,getCookies.0,for.0,int.0,i.0,=.2,0.0,i.1,<.0,cookies.1,length.0,i.2,Cookie.1,cookie.0,=.3,cookies.2,i.3,if.0,cookie.1,!=.0,nan.1,&&.0,cookie.2,getName.0,equals.0,"""platform.username"".0",String.2,value.0,=.4,cookie.3,getValue.0,userName.1,=.5,DesEncrypter.0,getInstance.0,decrypt.0,value.1,break.0,return.0,userName.2,code,participant_summary
0,136,getUserNameFromCookie,1694531,1212384283451,20898671873,1,1,"(0.6570478677749634, 0.21570062637329102)","(0.6522871255874634, 0.21458914875984192)",1,1,2.521392822265625,2.5013580322265625,Fixation,POINT (0.6546674966812134 0.2151448875665665),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384291785,20898680207,1,1,"(0.6544729471206665, 0.19472186267375946)","(0.6556500792503357, 0.20062236487865448)",1,1,2.5214385986328125,2.4847412109375,Fixation,POINT (0.6550615131855011 0.197672113776207),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384300121,20898688543,1,1,"(0.6509844660758972, 0.19603309035301208)","(0.6525401473045349, 0.19521847367286682)",1,1,2.5220184326171875,2.4839019775390625,Fixation,POINT (0.6517623066902161 0.1956257820129394),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384308454,20898696876,1,1,"(0.6545907855033875, 0.19398076832294464)","(0.6585682034492493, 0.20746177434921265)",1,1,2.518768310546875,2.454208374023437,Fixation,POINT (0.6565794944763184 0.2007212713360786),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384316788,20898705210,1,1,"(0.6513161659240723, 0.20163950324058533)","(0.6660245060920715, 0.21628452837467194)",1,1,2.501922607421875,2.47576904296875,Fixation,POINT (0.6586703360080719 0.2089620158076286),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384325121,20898713543,1,1,"(0.652166485786438, 0.21006539463996887)","(0.6629589200019836, 0.2202463448047638)",1,1,2.5164947509765625,2.4522247314453125,Fixation,POINT (0.6575627028942108 0.2151558697223663),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384333454,20898721876,1,1,"(0.6555496454238892, 0.21254470944404602)","(0.6548328399658203, 0.22758066654205322)",1,1,2.5018310546875,2.47052001953125,Fixation,POINT (0.6551912426948547 0.2200626879930496),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384341788,20898730210,1,1,"(0.6537986397743225, 0.2038973718881607)","(0.6562721133232117, 0.21823042631149292)",1,1,2.5041656494140625,2.45709228515625,Fixation,POINT (0.6550353765487671 0.2110638990998268),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384350121,20898738543,1,1,"(0.6583475470542908, 0.18188747763633728)","(0.6597374677658081, 0.2271002233028412)",1,1,2.50347900390625,2.4664306640625,Fixation,POINT (0.6590425074100494 0.2044938504695892),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384358454,20898746876,1,1,"(0.6542969942092896, 0.19445088505744934)","(0.6552060842514038, 0.21540647745132446)",1,1,2.511871337890625,2.4622955322265625,Fixation,POINT (0.6547515392303467 0.2049286812543869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384366788,20898755210,1,1,"(0.6556845903396606, 0.19265075027942657)","(0.6613098382949829, 0.2234007716178894)",1,1,2.508514404296875,2.464584350585937,Fixation,POINT (0.6584972143173218 0.208025760948658),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384375121,20898763543,1,1,"(0.6544427275657654, 0.19027520716190338)","(0.6498733162879944, 0.22443826496601105)",1,1,2.5138702392578125,2.4414520263671875,Fixation,POINT (0.6521580219268799 0.2073567360639572),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384383454,20898771876,1,1,"(0.6546735167503357, 0.1923811435699463)","(0.6540778875350952, 0.21837365627288818)",1,1,2.5164337158203125,2.43701171875,Fixation,POINT (0.6543757021427155 0.2053773999214172),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384391789,20898780210,1,1,"(0.6558801531791687, 0.2060207575559616)","(0.661047101020813, 0.2124752253293991)",1,1,2.5016632080078125,2.4735870361328125,Fixation,POINT (0.6584636270999908 0.2092479914426804),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384400122,20898788543,1,1,"(0.6514644622802734, 0.19881868362426758)","(0.6518265008926392, 0.20106267929077148)",1,1,2.491973876953125,2.4508819580078125,Fixation,POINT (0.6516454815864563 0.1999406814575195),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getUserNameFromCookie,1694531,1212384475128,20898863549,1,1,"(0.1121247410774231, 0.1448710709810257)","(0.13153591752052307, 0.1627631038427353)",1,1,2.40057373046875,2.4047393798828125,Fixation,POINT (0.1218303292989731 0.1538170874118805),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384483461,20898871882,1,1,"(0.11656846106052399, 0.13279227912425995)","(0.13432611525058746, 0.1587105393409729)",1,1,2.4383087158203125,2.4373779296875,Fixation,POINT (0.1254472881555557 0.1457514092326164),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384491795,20898880216,1,1,"(0.11302751302719116, 0.1438644826412201)","(0.1215888261795044, 0.1646021157503128)",1,1,2.44512939453125,2.425201416015625,Fixation,POINT (0.1173081696033478 0.1542332991957664),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384500128,20898888549,1,1,"(0.1114623099565506, 0.14815044403076172)","(0.12635166943073273, 0.16605842113494873)",1,1,2.412216186523437,2.424072265625,Fixation,POINT (0.1189069896936417 0.1571044325828552),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384508461,20898896882,1,1,"(0.11551418900489807, 0.16221044957637787)","(0.12296605855226517, 0.16006718575954437)",1,1,2.3929901123046875,2.42047119140625,Fixation,POINT (0.1192401237785816 0.1611388176679611),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384516795,20898905216,1,1,"(0.12299568951129913, 0.14990264177322388)","(0.11799363046884537, 0.15602955222129822)",1,1,2.389129638671875,2.40863037109375,Fixation,POINT (0.1204946599900722 0.152966096997261),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384525128,20898913549,1,1,"(0.1184678003191948, 0.15183526277542114)","(0.11633887141942978, 0.15813182294368744)",1,1,2.38873291015625,2.41082763671875,Fixation,POINT (0.1174033358693123 0.1549835428595543),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384533461,20898921882,1,1,"(0.11871307343244553, 0.14138644933700562)","(0.12383533269166946, 0.15460973978042603)",1,1,2.394271850585937,2.3892974853515625,Fixation,POINT (0.1212742030620575 0.1479980945587158),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384541795,20898930216,1,1,"(0.11338917911052704, 0.14524205029010773)","(0.13131442666053772, 0.15666766464710236)",1,1,2.3838348388671875,2.3968048095703125,Fixation,POINT (0.1223518028855324 0.150954857468605),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384550128,20898938549,1,1,"(0.11486008763313293, 0.1398879736661911)","(0.13540814816951752, 0.14988772571086884)",1,1,2.3730926513671875,2.357269287109375,Fixation,POINT (0.1251341179013252 0.14488784968853),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384558461,20898946882,1,1,"(0.11224730312824249, 0.1395055502653122)","(0.12747371196746826, 0.15950849652290344)",1,1,2.3695831298828125,2.37176513671875,Fixation,POINT (0.1198605075478554 0.1495070233941078),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384566800,20898955221,1,1,"(0.12196502834558487, 0.13980138301849365)","(0.12102639675140381, 0.15537802875041962)",1,1,2.370635986328125,2.360107421875,Fixation,POINT (0.1214957125484943 0.1475897058844566),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384575134,20898963555,1,1,"(0.1205747053027153, 0.14655494689941406)","(0.12441820651292801, 0.15125085413455963)",1,1,2.370223999023437,2.3731842041015625,Fixation,POINT (0.1224964559078217 0.1489029005169868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384583467,20898971888,1,1,"(0.11804378777742386, 0.14378122985363007)","(0.1306697130203247, 0.14473794400691986)",1,1,2.37060546875,2.3896636962890625,Fixation,POINT (0.1243567503988743 0.144259586930275),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384591800,20898980221,1,1,"(0.11258749663829803, 0.13820484280586243)","(0.13192522525787354, 0.15176168084144592)",1,1,2.3518218994140625,2.3603668212890625,Fixation,POINT (0.1222563609480858 0.1449832618236542),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384600134,20898988555,1,1,"(0.12202382832765579, 0.12947501242160797)","(0.1304560750722885, 0.15295784175395966)",1,1,2.36376953125,2.3477325439453125,Fixation,POINT (0.1262399516999722 0.1412164270877838),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384608467,20898996888,1,1,"(0.11907782405614853, 0.13349011540412903)","(0.12508398294448853, 0.14926385879516602)",1,1,2.3475341796875,2.3850555419921875,Fixation,POINT (0.1220809035003185 0.1413769870996475),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384616801,20899005221,1,1,"(0.11946001648902893, 0.14334458112716675)","(0.12873496115207672, 0.1329789161682129)",1,1,2.3519439697265625,2.35565185546875,Fixation,POINT (0.1240974888205528 0.1381617486476898),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384625135,20899013555,1,1,"(0.12232300639152527, 0.14468471705913544)","(0.1282522827386856, 0.14121580123901367)",1,1,2.352752685546875,2.362640380859375,Fixation,POINT (0.1252876445651054 0.1429502591490746),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
