,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,WordFormGenerator.0,getFastestGenerator.0,final.0,Locale.0,locale.0,throws.0,MorphologyException.0,if.0,locale.1,==.0,nan.0,throw.0,new.0,IllegalArgumentException.0,"""The 'loc' argument cannot be nan "".100",WordFormGenerator.1,component.0,=.0,WordFormGenerator.2,fastestGenerators.0,get.0,locale.2,if.1,component.1,==.1,nan.1,throw.1,new.1,MorphologyException.1,"""Cannot find generator for locales : "".101",+.0,locale.3,toString.0,return.0,component.2,prewritten,accurate,missing,unnecessary,readable,code
0,136,getFastestGenerator,34609355,1209948422318,18462820104,1,1,"(0.21127735078334808, 0.19969482719898224)","(0.2147296518087387, 0.21529828011989594)",1,1,2.4612579345703125,2.4962310791015625,Fixation,POINT (0.2130035012960434 0.2074965536594391),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948430642,18462828428,1,1,"(0.21165268123149872, 0.19904182851314545)","(0.2175186574459076, 0.22165368497371674)",1,1,2.465560913085937,2.4947662353515625,Fixation,POINT (0.2145856693387032 0.2103477567434311),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948438977,18462836762,1,1,"(0.2109127640724182, 0.19490623474121094)","(0.21706922352313995, 0.21860219538211823)",1,1,2.4483184814453125,2.4925994873046875,Fixation,POINT (0.2139909937977791 0.2067542150616646),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948447310,18462845095,1,1,"(0.2093847692012787, 0.20106349885463715)","(0.21302713453769684, 0.21464776992797852)",1,1,2.4541168212890625,2.4871978759765625,Fixation,POINT (0.2112059518694878 0.2078556343913078),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948455644,18462853429,1,1,"(0.2092011570930481, 0.2023228108882904)","(0.21072204411029816, 0.21507444977760315)",1,1,2.4564208984375,2.4947509765625,Fixation,POINT (0.2099616006016731 0.2086986303329468),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948463977,18462861762,1,1,"(0.21212978661060333, 0.20354777574539185)","(0.21356363594532013, 0.22041213512420654)",1,1,2.439422607421875,2.475311279296875,Fixation,POINT (0.2128467112779617 0.2119799554347992),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948472310,18462870095,1,1,"(0.21030141413211823, 0.202209010720253)","(0.21281971037387848, 0.217743918299675)",1,1,2.4519500732421875,2.473129272460937,Fixation,POINT (0.2115605622529984 0.209976464509964),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948480644,18462878429,1,1,"(0.2101753205060959, 0.1971365511417389)","(0.21100686490535736, 0.2166251391172409)",1,1,2.440460205078125,2.479522705078125,Fixation,POINT (0.2105910927057266 0.2068808451294899),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948488977,18462886762,1,1,"(0.21094021201133728, 0.19655050337314606)","(0.20989634096622467, 0.2193177491426468)",1,1,2.430450439453125,2.4913787841796875,Fixation,POINT (0.210418276488781 0.2079341262578964),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948497316,18462895101,1,1,"(0.21193064749240875, 0.2007053792476654)","(0.21297043561935425, 0.21969559788703918)",1,1,2.448959350585937,2.4846649169921875,Fixation,POINT (0.2124505415558815 0.2102004885673523),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
