,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,void.0,init.0,_innerData.0,=.0,Collections.0,synchronizedMap.0,new.0,LinkedHashMap.0,String.0,Object.0,>.0,Iterator.0,Entry.0,<.2,String.1,Object.1,>.1,itr.0,=.1,_srcModel.0,entrySet.0,iterator.0,while.0,itr.1,hasNext.0,Entry.1,String.2,Object.2,>.3,entry.0,=.2,itr.2,next.0,_innerData.1,put.0,entry.1,getKey.0,entry.2,getValue.0,_srcListener.0,=.3,new.1,ListDataListener.0,public.1,void.1,onChange.0,ListDataEvent.0,event.0,onListDataChange.0,event.1,};	.0,_srcModel.1,addListDataListener.0,_srcListener.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,init,43040436,1209072296829,17586697856,1,1,"(0.6596947908401489, 0.31629616022109985)","(0.6709442734718323, 0.3084229528903961)",1,1,2.4822540283203125,2.361724853515625,Fixation,POINT (0.6653195321559906 0.312359556555748),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072305162,17586706189,1,1,"(0.660903811454773, 0.3078036904335022)","(0.6695877909660339, 0.31226328015327454)",1,1,2.4752655029296875,2.4102935791015625,Fixation,POINT (0.6652458012104034 0.3100334852933884),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072313496,17586714523,1,1,"(0.6600131988525391, 0.3114297091960907)","(0.6659867167472839, 0.30355319380760193)",1,1,2.474334716796875,2.36895751953125,Fixation,POINT (0.6629999577999115 0.3074914515018463),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072321829,17586722856,1,1,"(0.6623855233192444, 0.31603702902793884)","(0.6628464460372925, 0.31274086236953735)",1,1,2.4341583251953125,2.362655639648437,Fixation,POINT (0.6626159846782684 0.3143889456987381),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072330162,17586731189,1,1,"(0.6649470925331116, 0.3067146837711334)","(0.6646347045898438, 0.31041184067726135)",1,1,2.478256225585937,2.350433349609375,Fixation,POINT (0.6647908985614777 0.3085632622241974),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072338496,17586739523,1,1,"(0.6608375310897827, 0.3090372085571289)","(0.6593726277351379, 0.31597965955734253)",1,1,2.461395263671875,2.3555450439453125,Fixation,POINT (0.6601050794124603 0.3125084340572357),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072346829,17586747856,1,1,"(0.6635031700134277, 0.3049818277359009)","(0.6660251021385193, 0.3117675483226776)",1,1,2.4602508544921875,2.358123779296875,Fixation,POINT (0.6647641360759735 0.3083746880292892),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072355162,17586756189,1,1,"(0.661928653717041, 0.3120231032371521)","(0.6621057391166687, 0.31422144174575806)",1,1,2.45074462890625,2.308929443359375,Fixation,POINT (0.6620171964168549 0.3131222724914551),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072363496,17586764523,1,1,"(0.6618030667304993, 0.3055156171321869)","(0.6611948609352112, 0.310579389333725)",1,1,2.472137451171875,2.35003662109375,Fixation,POINT (0.6614989638328552 0.3080475032329559),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072371829,17586772856,1,1,"(0.6607539057731628, 0.2869739532470703)","(0.6606795787811279, 0.2962791919708252)",1,1,2.4699859619140625,2.389068603515625,Fixation,POINT (0.6607167422771454 0.2916265726089478),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,init,43040436,1209072388499,17586789526,1,1,"(0.6754328012466431, 0.20423740148544312)","(0.6730189323425293, 0.231558158993721)",1,1,2.431488037109375,2.3149566650390625,Fixation,POINT (0.6742258667945862 0.2178977802395821),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072396833,17586797860,1,1,"(0.6729493737220764, 0.20491661131381989)","(0.6701388359069824, 0.24668891727924347)",1,1,2.421615600585937,2.334259033203125,Fixation,POINT (0.6715441048145294 0.2258027642965317),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072405166,17586806193,1,1,"(0.6743892431259155, 0.21571823954582214)","(0.6698690056800842, 0.23899221420288086)",1,1,2.4221954345703125,2.3472137451171875,Fixation,POINT (0.6721291244029999 0.2273552268743515),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
