,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,refreshTreePanel.0,root.0,removeAllChildren.0,root.1,=.0,new.0,DefaultMutableTreeNode.0,"""ALL"".0",treeModel.0,=.1,new.1,DefaultTreeModel.0,root.2,tree.0,setModel.0,treeModel.1,tree.1,setBounds.0,new.2,Rectangle.0,0.0,0.1,196.0,443.0,tree.2,setLayout.0,nan.0,tree.3,setBackground.0,Color.0,white.0,tree.4,setCellRenderer.0,new.3,UserIconRenderer.0,addAllUsers.0,TreePath.0,treePath.0,=.2,tree.5,getPathForRow.0,0.2,tree.6,fireTreeExpanded.0,treePath.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,refreshTreePanel,35553511,1208460215524,16974618243,1,1,"(0.5141633749008179, 0.2821410298347473)","(0.509396493434906, 0.29833853244781494)",1,1,2.70196533203125,2.79583740234375,Fixation,POINT (0.5117799341678619 0.2902397811412811),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460223857,16974626576,1,1,"(0.5166792273521423, 0.2775382697582245)","(0.5140791535377502, 0.3008718490600586)",1,1,2.702499389648437,2.7936553955078125,Fixation,POINT (0.5153791904449463 0.2892050594091415),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460232191,16974634910,1,1,"(0.5176998972892761, 0.274212121963501)","(0.5137062072753906, 0.29797860980033875)",1,1,2.7039794921875,2.78424072265625,Fixation,POINT (0.5157030522823334 0.2860953658819199),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460240524,16974643243,1,1,"(0.5200730562210083, 0.28062745928764343)","(0.514549732208252, 0.29524537920951843)",1,1,2.701324462890625,2.794677734375,Fixation,POINT (0.5173113942146301 0.2879364192485809),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460248862,16974651581,1,1,"(0.519310474395752, 0.27993398904800415)","(0.513787567615509, 0.2967815697193146)",1,1,2.687240600585937,2.776031494140625,Fixation,POINT (0.5165490210056305 0.2883577793836594),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460257196,16974659915,1,1,"(0.5210208296775818, 0.27657437324523926)","(0.5121375918388367, 0.29483214020729065)",1,1,2.6949005126953125,2.7635955810546875,Fixation,POINT (0.5165792107582092 0.285703256726265),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460265529,16974668248,1,1,"(0.518519937992096, 0.2762708365917206)","(0.5122932195663452, 0.2970614433288574)",1,1,2.68389892578125,2.77392578125,Fixation,POINT (0.5154065787792206 0.286666139960289),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460332197,16974734915,1,1,"(0.13122621178627014, 0.11704162508249283)","(0.13224253058433533, 0.17008063197135925)",1,1,2.6248779296875,2.75018310546875,Fixation,POINT (0.1317343711853027 0.143561128526926),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460340530,16974743248,1,1,"(0.1246400997042656, 0.13119828701019287)","(0.132273867726326, 0.16391541063785553)",1,1,2.643295288085937,2.77557373046875,Fixation,POINT (0.1284569837152958 0.1475568488240242),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460348863,16974751581,1,1,"(0.12180991470813751, 0.1414600908756256)","(0.12659761309623718, 0.16874124109745026)",1,1,2.6258087158203125,2.76678466796875,Fixation,POINT (0.1242037639021874 0.1551006659865379),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460357197,16974759915,1,1,"(0.12959353625774384, 0.1426495909690857)","(0.12745918333530426, 0.16896001994609833)",1,1,2.62664794921875,2.7439422607421875,Fixation,POINT (0.128526359796524 0.155804805457592),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460365530,16974768248,1,1,"(0.12718385457992554, 0.14365127682685852)","(0.12554460763931274, 0.17124561965465546)",1,1,2.623016357421875,2.738494873046875,Fixation,POINT (0.1263642311096191 0.157448448240757),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460373863,16974776581,1,1,"(0.12852603197097778, 0.14587093889713287)","(0.12911783158779144, 0.16288819909095764)",1,1,2.5991363525390625,2.730819702148437,Fixation,POINT (0.1288219317793846 0.1543795689940453),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460382201,16974784919,1,1,"(0.12686923146247864, 0.14795881509780884)","(0.13145571947097778, 0.17178258299827576)",1,1,2.5896148681640625,2.7013092041015625,Fixation,POINT (0.1291624754667282 0.1598706990480423),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460390534,16974793252,1,1,"(0.12516070902347565, 0.1443689614534378)","(0.1254388689994812, 0.1688803881406784)",1,1,2.5887908935546875,2.7213287353515625,Fixation,POINT (0.1252997890114784 0.1566246747970581),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460398867,16974801585,1,1,"(0.12692958116531372, 0.15557043254375458)","(0.13035324215888977, 0.16737890243530273)",1,1,2.574188232421875,2.6967010498046875,Fixation,POINT (0.1286414116621018 0.1614746674895287),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460407201,16974809919,1,1,"(0.1285623162984848, 0.14685851335525513)","(0.12857100367546082, 0.16547934710979462)",1,1,2.567611694335937,2.687225341796875,Fixation,POINT (0.1285666599869728 0.1561689302325249),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460415536,16974818254,1,1,"(0.12243031710386276, 0.1473810225725174)","(0.1262977421283722, 0.16432450711727142)",1,1,2.5732421875,2.6731109619140625,Fixation,POINT (0.1243640296161175 0.1558527648448944),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460423869,16974826587,1,1,"(0.12204334139823914, 0.14987735450267792)","(0.12261776626110077, 0.1702430695295334)",1,1,2.56097412109375,2.6791534423828125,Fixation,POINT (0.12233055382967 0.1600602120161056),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460432203,16974834921,1,1,"(0.13313475251197815, 0.1442725956439972)","(0.1241183951497078, 0.16607365012168884)",1,1,2.5564117431640625,2.678131103515625,Fixation,POINT (0.128626573830843 0.155173122882843),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460440536,16974843254,1,1,"(0.12222522497177124, 0.14904294908046722)","(0.1252787560224533, 0.16483701765537262)",1,1,2.5684967041015625,2.673583984375,Fixation,POINT (0.1237519904971123 0.1569399833679199),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460448869,16974851587,1,1,"(0.1217859610915184, 0.15145926177501678)","(0.1269526183605194, 0.16195350885391235)",1,1,2.5479736328125,2.65673828125,Fixation,POINT (0.1243692897260189 0.1567063853144646),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
