,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,invalidateSession.0,String.0,uid.0,String.1,sid.0,cat.0,debug.0,"""==> invalidateSession "".100",+.0,String.2,valueOf.0,uid.1,+.1,""", "".0",+.2,String.3,valueOf.1,sid.1,+.3,""")"".0",synchronized.0,lock.0,uid2sid.0,remove.0,uid.2,sid2ssc.0,remove.1,sid.2,sid2ttl.0,remove.2,sid.3,cat.1,debug.1,"""<== invalidateSession()"".101",code,participant_summary
0,136,invalidateSession,18354735,1211992093067,20506483106,1,1,"(0.6852577924728394, 0.20154064893722534)","(0.6863935589790344, 0.18328560888767242)",1,1,2.554428100585937,2.5260009765625,Fixation,POINT (0.6858256757259369 0.1924131289124489),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992101401,20506491440,1,1,"(0.6908549666404724, 0.20165188610553741)","(0.6803080439567566, 0.1886357218027115)",1,1,2.554351806640625,2.5128936767578125,Fixation,POINT (0.6855815052986145 0.1951438039541244),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992109734,20506499773,1,1,"(0.696017324924469, 0.20800751447677612)","(0.6860207319259644, 0.205650195479393)",1,1,2.56781005859375,2.5092926025390625,Fixation,POINT (0.6910190284252167 0.2068288549780846),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992118070,20506508109,1,1,"(0.682864248752594, 0.17712368071079254)","(0.6883708834648132, 0.21279515326023102)",1,1,2.5494384765625,2.535308837890625,Fixation,POINT (0.6856175661087036 0.1949594169855118),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992126404,20506516443,1,1,"(0.6944952011108398, 0.18588541448116302)","(0.6809443235397339, 0.20608532428741455)",1,1,2.5543212890625,2.5063934326171875,Fixation,POINT (0.6877197623252869 0.1959853693842888),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992134737,20506524776,1,1,"(0.6921513080596924, 0.20836926996707916)","(0.6833901405334473, 0.20751327276229858)",1,1,2.54742431640625,2.533355712890625,Fixation,POINT (0.6877707242965698 0.2079412713646889),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992143070,20506533109,1,1,"(0.6852225661277771, 0.18232160806655884)","(0.6831732392311096, 0.20176349580287933)",1,1,2.570587158203125,2.520736694335937,Fixation,POINT (0.6841979026794434 0.1920425519347191),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992151404,20506541443,1,1,"(0.6912218928337097, 0.1713288128376007)","(0.6817113757133484, 0.21107478439807892)",1,1,2.5512237548828125,2.519683837890625,Fixation,POINT (0.686466634273529 0.1912017986178398),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992159737,20506549776,1,1,"(0.6877422332763672, 0.18043211102485657)","(0.6884092688560486, 0.21039055287837982)",1,1,2.5627899169921875,2.516342163085937,Fixation,POINT (0.6880757510662079 0.1954113319516182),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992168070,20506558109,1,1,"(0.6887567639350891, 0.18906021118164062)","(0.6830036044120789, 0.19364310801029205)",1,1,2.5578765869140625,2.5018463134765625,Fixation,POINT (0.685880184173584 0.1913516595959663),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992176404,20506566443,1,1,"(0.6917744874954224, 0.20027098059654236)","(0.6904659867286682, 0.18467412889003754)",1,1,2.556427001953125,2.5255126953125,Fixation,POINT (0.6911202371120453 0.19247255474329),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992184737,20506574776,1,1,"(0.6897510886192322, 0.2074049562215805)","(0.6884481310844421, 0.17606787383556366)",1,1,2.560394287109375,2.5110321044921875,Fixation,POINT (0.6890996098518372 0.1917364150285721),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992193070,20506583109,1,1,"(0.6856666207313538, 0.1974945366382599)","(0.6885278224945068, 0.1907304972410202)",1,1,2.537139892578125,2.5035400390625,Fixation,POINT (0.6870972216129303 0.19411251693964),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992201404,20506591443,1,1,"(0.6899182796478271, 0.18252314627170563)","(0.6834675669670105, 0.20241405069828033)",1,1,2.5553436279296875,2.5147247314453125,Fixation,POINT (0.6866929233074188 0.192468598484993),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992209737,20506599776,1,1,"(0.693017303943634, 0.20644967257976532)","(0.6874577403068542, 0.18772579729557037)",1,1,2.552108764648437,2.491119384765625,Fixation,POINT (0.6902375221252441 0.1970877349376678),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992218070,20506608109,1,1,"(0.6915596127510071, 0.21121418476104736)","(0.6888788342475891, 0.2047528624534607)",1,1,2.538330078125,2.5176544189453125,Fixation,POINT (0.6902192234992981 0.207983523607254),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992226404,20506616443,1,1,"(0.6897090673446655, 0.17366285622119904)","(0.6832082271575928, 0.18678274750709534)",1,1,2.5437164306640625,2.54095458984375,Fixation,POINT (0.6864586472511292 0.1802228018641472),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992234737,20506624776,1,1,"(0.690218448638916, 0.19575241208076477)","(0.6927502751350403, 0.2170063853263855)",1,1,2.5528564453125,2.5053253173828125,Fixation,POINT (0.6914843618869781 0.2063793987035751),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992243071,20506633109,1,1,"(0.6896753311157227, 0.18420973420143127)","(0.6829662322998047, 0.1898951530456543)",1,1,2.549423217773437,2.497772216796875,Fixation,POINT (0.6863207817077637 0.1870524436235428),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992251411,20506641449,1,1,"(0.6937541961669922, 0.20420479774475098)","(0.6897897124290466, 0.21651263535022736)",1,1,2.532928466796875,2.5013427734375,Fixation,POINT (0.6917719542980194 0.2103587165474892),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992268077,20506658115,1,1,"(0.6901752948760986, 0.1746564507484436)","(0.6840595602989197, 0.21018919348716736)",1,1,2.53717041015625,2.511016845703125,Fixation,POINT (0.6871174275875092 0.1924228221178055),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992276411,20506666449,1,1,"(0.6905511021614075, 0.1847638636827469)","(0.6855685114860535, 0.19982104003429413)",1,1,2.5343017578125,2.508331298828125,Fixation,POINT (0.6880598068237305 0.1922924518585205),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,invalidateSession,18354735,1211992284744,20506674782,1,1,"(0.6863483786582947, 0.18024514615535736)","(0.6853759288787842, 0.20481935143470764)",1,1,2.536712646484375,2.517807006835937,Fixation,POINT (0.6858621537685394 0.1925322487950325),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
