,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,close.0,Tabpanel.0,tempPanel.0,=.0,nan.0,View.0,tempView.0,=.1,nan.1,List.0,?.0,>.0,list.0,Enumeration.0,Tabbox.0,>.1,tabs.0,=.2,primaryTabMap.0,keys.0,while.0,tabs.1,hasMoreElements.0,list.1,=.3,tabs.2,nextElement.0,getTabpanels.0,getChildren.0,Iterator.0,?.1,>.2,itr.0,=.4,list.2,iterator.0,while.1,itr.1,hasNext.0,tempPanel.1,=.5,Tabpanel.1,itr.2,next.0,tempView.1,=.6,View.1,tempPanel.2,getChildren.1,get.0,0.0,tempView.2,deregisterView.0,prewritten,accurate,missing,unnecessary,readable,code
0,136,close,34413807,1208395688140,16910091018,1,1,"(0.09384365379810333, 0.4527779519557953)","(0.10444837808609009, 0.4605812430381775)",1,1,2.822113037109375,2.8331451416015625,Fixation,POINT (0.0991460159420967 0.4566795974969864),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395696474,16910099352,1,1,"(0.09394560754299164, 0.4465828537940979)","(0.10077088326215744, 0.46299922466278076)",1,1,2.78497314453125,2.8326873779296875,Fixation,POINT (0.0973582454025745 0.4547910392284393),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395704807,16910107685,1,1,"(0.09573861211538315, 0.4434669315814972)","(0.10485276579856873, 0.46646812558174133)",1,1,2.804183959960937,2.83587646484375,Fixation,POINT (0.1002956889569759 0.4549675285816193),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395713140,16910116018,1,1,"(0.09421480447053909, 0.45612555742263794)","(0.10586141049861908, 0.4627465605735779)",1,1,2.7959442138671875,2.835845947265625,Fixation,POINT (0.1000381074845791 0.4594360589981079),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208395721474,16910124352,1,1,"(0.10055143386125565, 0.4547345042228699)","(0.10491943359375, 0.4702069163322449)",1,1,2.80780029296875,2.806381225585937,Fixation,POINT (0.1027354337275028 0.4624707102775574),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395729807,16910132685,1,1,"(0.10265646874904633, 0.4549146294593811)","(0.10521166771650314, 0.4598739445209503)",1,1,2.7998504638671875,2.806854248046875,Fixation,POINT (0.1039340682327747 0.4573942869901657),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395738140,16910141018,1,1,"(0.09985750168561935, 0.44999071955680847)","(0.10825008153915405, 0.4616071283817291)",1,1,2.78662109375,2.80291748046875,Fixation,POINT (0.1040537916123867 0.4557989239692688),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395746474,16910149352,1,1,"(0.0964953824877739, 0.45180007815361023)","(0.11009848862886429, 0.4634785056114197)",1,1,2.7838134765625,2.817245483398437,Fixation,POINT (0.1032969355583191 0.457639291882515),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395754811,16910157689,1,1,"(0.09503430128097534, 0.4464857578277588)","(0.10876423120498657, 0.4617045521736145)",1,1,2.7882080078125,2.812484741210937,Fixation,POINT (0.101899266242981 0.4540951550006866),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395763144,16910166022,1,1,"(0.09715169668197632, 0.453271746635437)","(0.110151007771492, 0.46802398562431335)",1,1,2.766342163085937,2.7926483154296875,Fixation,POINT (0.1036513522267342 0.4606478661298752),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
