,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,testSetExample.0,System.0,out.0,println.0,"""testSetExample"".0",testString.0,=.0,"""<tag:foo>|n"".0",testString.1,+=.0,"""|t<tag:bar />"".100",testString.2,+=.1,"""</tag:foo>"".0",tag.1,setExample.0,testString.3,assertEquals.0,tag.2,getExample.0,testString.4,code,participant_summary
0,136,testSetExample,50891793,1212567848958,21082236656,1,1,"(0.7116170525550842, 0.16395793855190277)","(0.7115464806556702, 0.20276902616024017)",1,1,2.478424072265625,2.424713134765625,Fixation,POINT (0.7115817666053772 0.1833634823560715),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212567857291,21082244989,1,1,"(0.715623140335083, 0.16159039735794067)","(0.7102364301681519, 0.22473791241645813)",1,1,2.486541748046875,2.423614501953125,Fixation,POINT (0.7129297852516174 0.1931641548871994),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212567865625,21082253323,1,1,"(0.7127997875213623, 0.1640578806400299)","(0.696572482585907, 0.21668708324432373)",1,1,2.47125244140625,2.41143798828125,Fixation,POINT (0.7046861350536346 0.1903724819421768),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212567873958,21082261656,1,1,"(0.7102953195571899, 0.15993013978004456)","(0.7120440602302551, 0.20346471667289734)",1,1,2.4598541259765625,2.39703369140625,Fixation,POINT (0.7111696898937225 0.181697428226471),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212567882291,21082269989,1,1,"(0.7133094668388367, 0.16838830709457397)","(0.7116331458091736, 0.19674791395664215)",1,1,2.46905517578125,2.422470092773437,Fixation,POINT (0.7124713063240051 0.1825681105256081),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212567890625,21082278323,1,1,"(0.7119003534317017, 0.16365168988704681)","(0.6996719241142273, 0.1984536349773407)",1,1,2.4879150390625,2.41552734375,Fixation,POINT (0.7057861387729645 0.1810526624321938),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212567898958,21082286656,1,1,"(0.7147688269615173, 0.1587154120206833)","(0.7141528129577637, 0.2092421054840088)",1,1,2.45220947265625,2.399993896484375,Fixation,POINT (0.7144608199596405 0.183978758752346),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212567907291,21082294989,1,1,"(0.7136625051498413, 0.16120731830596924)","(0.7146344780921936, 0.21503494679927826)",1,1,2.48846435546875,2.395904541015625,Fixation,POINT (0.7141484916210175 0.1881211325526238),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212567915625,21082303323,1,1,"(0.715927243232727, 0.16946223378181458)","(0.7022573947906494, 0.20769445598125458)",1,1,2.46905517578125,2.4203033447265625,Fixation,POINT (0.7090923190116882 0.1885783448815346),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212567923958,21082311656,1,1,"(0.7119725346565247, 0.16916145384311676)","(0.7165078520774841, 0.2080758661031723)",1,1,2.469512939453125,2.4002838134765625,Fixation,POINT (0.7142401933670044 0.1886186599731445),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212567932291,21082319989,1,1,"(0.7151193022727966, 0.15811608731746674)","(0.7063761353492737, 0.21003493666648865)",1,1,2.47882080078125,2.4235382080078125,Fixation,POINT (0.7107477188110352 0.1840755119919777),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212567940630,21082328328,1,1,"(0.7066799402236938, 0.1543390303850174)","(0.7082950472831726, 0.2002478837966919)",1,1,2.4814910888671875,2.409881591796875,Fixation,POINT (0.7074874937534332 0.1772934570908546),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212567948963,21082336661,1,1,"(0.7089463472366333, 0.160552978515625)","(0.7065653800964355, 0.2127821147441864)",1,1,2.47833251953125,2.4104156494140625,Fixation,POINT (0.7077558636665344 0.1866675466299057),,,,,,,,,,,,,,,,,,,,,,,,,
