,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,boolean.0,equals.0,Object.0,obj.0,if.0,obj.1,==.0,nan.0,||.0,obj.2,getClass.0,!=.0,getClass.1,return.0,FALSE.0,CSSConditionalSelectorImpl.0,s.0,=.0,CSSConditionalSelectorImpl.1,obj.3,return.1,s.1,simpleSelector.0,equals.1,simpleSelector.1,&&.0,s.2,condition.0,equals.2,condition.1,code,participant_summary
0,136,equals,10222579,1211597552601,20111944261,1,1,"(0.1252322793006897, 0.20403064787387848)","(0.13448309898376465, 0.19882528483867645)",1,1,2.445785522460937,2.3991241455078125,Fixation,POINT (0.1298576891422272 0.2014279663562775),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211597994284,20112385942,1,1,"(0.22711309790611267, 0.1597454994916916)","(0.2269449084997177, 0.17977626621723175)",1,1,2.47021484375,2.4656219482421875,,POINT (0.2270290032029152 0.1697608828544617),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598002617,20112394275,1,1,"(0.2254197746515274, 0.1586085557937622)","(0.23228372633457184, 0.1805562525987625)",1,1,2.472259521484375,2.471466064453125,Fixation,POINT (0.2288517504930496 0.1695824041962624),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598035953,20112427611,1,1,"(0.14563699066638947, 0.1753273904323578)","(0.15027101337909698, 0.17204681038856506)",1,1,2.456649780273437,2.4686737060546875,Fixation,POINT (0.1479540020227432 0.1736871004104614),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598044286,20112435944,1,1,"(0.13975046575069427, 0.168311208486557)","(0.15118004381656647, 0.17392070591449738)",1,1,2.4718475341796875,2.450653076171875,Fixation,POINT (0.1454652547836304 0.1711159572005272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598052619,20112444277,1,1,"(0.13935743272304535, 0.16771268844604492)","(0.1439342498779297, 0.1745045781135559)",1,1,2.4560699462890625,2.4668426513671875,Fixation,POINT (0.1416458413004875 0.1711086332798004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598060953,20112452611,1,1,"(0.14422670006752014, 0.16788077354431152)","(0.1467677652835846, 0.17138037085533142)",1,1,2.450439453125,2.46856689453125,Fixation,POINT (0.1454972326755524 0.1696305721998215),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598069286,20112460944,1,1,"(0.14238731563091278, 0.18606622517108917)","(0.14624793827533722, 0.15901803970336914)",1,1,2.4554595947265625,2.471435546875,Fixation,POINT (0.144317626953125 0.1725421324372292),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598077619,20112469277,1,1,"(0.14331766963005066, 0.1863722801208496)","(0.14703907072544098, 0.16314740478992462)",1,1,2.453094482421875,2.4476318359375,Fixation,POINT (0.1451783701777458 0.1747598424553871),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598085952,20112477610,1,1,"(0.14215297996997833, 0.17593106627464294)","(0.15002664923667908, 0.1648109406232834)",1,1,2.455795288085937,2.452423095703125,Fixation,POINT (0.1460898146033287 0.1703710034489632),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598094286,20112485944,1,1,"(0.14740273356437683, 0.17376045882701874)","(0.14810608327388763, 0.1619918942451477)",1,1,2.4361114501953125,2.464385986328125,Fixation,POINT (0.1477544084191322 0.1678761765360832),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598102625,20112494283,1,1,"(0.1458352506160736, 0.1781778633594513)","(0.14824847877025604, 0.17165689170360565)",1,1,2.440277099609375,2.4510498046875,Fixation,POINT (0.1470418646931648 0.1749173775315285),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598110958,20112502616,1,1,"(0.14874207973480225, 0.17903433740139008)","(0.1510239541530609, 0.17056258022785187)",1,1,2.44476318359375,2.436309814453125,Fixation,POINT (0.1498830169439316 0.174798458814621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598119292,20112510950,1,1,"(0.14614062011241913, 0.18721863627433777)","(0.13790586590766907, 0.1716226488351822)",1,1,2.4515838623046875,2.45391845703125,Fixation,POINT (0.1420232430100441 0.17942064255476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598127625,20112519283,1,1,"(0.1484055519104004, 0.18559390306472778)","(0.14545787870883942, 0.17629893124103546)",1,1,2.445953369140625,2.4499053955078125,Fixation,POINT (0.1469317153096199 0.1809464171528816),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598135959,20112527617,1,1,"(0.14987239241600037, 0.18709959089756012)","(0.15003237128257751, 0.16281598806381226)",1,1,2.42828369140625,2.412750244140625,Fixation,POINT (0.1499523818492889 0.1749577894806862),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598144292,20112535950,1,1,"(0.14926664531230927, 0.18753640353679657)","(0.1504504531621933, 0.15990637242794037)",1,1,2.4621124267578125,2.438507080078125,Fixation,POINT (0.1498585492372513 0.1737213879823685),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598152625,20112544283,1,1,"(0.14950667321681976, 0.1807858943939209)","(0.15115681290626526, 0.1729246973991394)",1,1,2.4407958984375,2.42718505859375,Fixation,POINT (0.1503317430615425 0.1768552958965302),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598160958,20112552616,1,1,"(0.14482882618904114, 0.1860083043575287)","(0.1475447565317154, 0.17078430950641632)",1,1,2.4541168212890625,2.461898803710937,Fixation,POINT (0.1461867913603783 0.1783963069319725),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
