,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,moveUpTarget.0,int.0,index.0,Object.0,target.0,=.0,targets.0,get.0,index.1,if.0,index.2,==.0,0.0,||.0,target.1,==.1,nan.0,return;.0,targets.1,set.0,index.3,targets.2,get.1,index.4,-.0,1.0,targets.3,set.1,index.5,-.1,1.1,target.2,log.0,debug.0,"""New ordering"".100",for.0,int.1,i.0,=.1,0.1,i.1,<.0,targets.4,size.0,i.2,log.1,debug.1,"""|t"".0",+.0,i.3,+.1,targets.5,get.2,i.4,prewritten,accurate,missing,unnecessary,readable,code
0,136,moveUpTarget,37762493,1208477224489,16991627157,1,1,"(0.09139600396156311, 0.3476012945175171)","(0.10082057863473892, 0.3791850209236145)",1,1,2.5620880126953125,2.5737762451171875,Fixation,POINT (0.096108291298151 0.3633931577205658),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477232823,16991635491,1,1,"(0.08856985718011856, 0.3360712230205536)","(0.10439620167016983, 0.3862084448337555)",1,1,2.551055908203125,2.575668334960937,Fixation,POINT (0.0964830294251442 0.3611398339271545),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477241156,16991643824,1,1,"(0.08431626111268997, 0.34129035472869873)","(0.10524236410856247, 0.38144639134407043)",1,1,2.57757568359375,2.5467071533203125,Fixation,POINT (0.0947793126106262 0.3613683730363846),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477249489,16991652157,1,1,"(0.09300430119037628, 0.3367876410484314)","(0.10246764123439789, 0.38034090399742126)",1,1,2.571517944335937,2.5811309814453125,Fixation,POINT (0.0977359712123871 0.3585642725229263),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477257823,16991660491,1,1,"(0.09320976585149765, 0.3406279385089874)","(0.09854245185852051, 0.37771448493003845)",1,1,2.5659942626953125,2.56524658203125,Fixation,POINT (0.0958761088550091 0.3591712117195129),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477266156,16991668824,1,1,"(0.08515498787164688, 0.33541974425315857)","(0.0997389480471611, 0.3848286271095276)",1,1,2.5832977294921875,2.5868377685546875,Fixation,POINT (0.092446967959404 0.3601241856813431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477274489,16991677157,1,1,"(0.08811839669942856, 0.33574581146240234)","(0.09853330999612808, 0.3873905837535858)",1,1,2.55364990234375,2.5808868408203125,Fixation,POINT (0.0933258533477783 0.3615681976079941),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477282822,16991685490,1,1,"(0.09187980741262436, 0.34301847219467163)","(0.09552516043186188, 0.376248836517334)",1,1,2.5589141845703125,2.584381103515625,Fixation,POINT (0.0937024839222431 0.3596336543560028),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477291162,16991693830,1,1,"(0.09767121076583862, 0.3476223945617676)","(0.09718222171068192, 0.36965233087539673)",1,1,2.562103271484375,2.59222412109375,Fixation,POINT (0.0974267162382603 0.3586373627185822),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477299495,16991702163,1,1,"(0.09018252789974213, 0.33948013186454773)","(0.10154327750205994, 0.37303581833839417)",1,1,2.5688018798828125,2.6005401611328125,Fixation,POINT (0.095862902700901 0.356257975101471),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477307829,16991710497,1,1,"(0.09101808071136475, 0.33938702940940857)","(0.10088036209344864, 0.3704696297645569)",1,1,2.570541381835937,2.5879669189453125,Fixation,POINT (0.0959492214024067 0.3549283295869827),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477316162,16991718830,1,1,"(0.09153955429792404, 0.3467894494533539)","(0.10268993675708771, 0.3764630854129791)",1,1,2.577865600585937,2.590728759765625,Fixation,POINT (0.0971147455275059 0.3616262674331665),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477324495,16991727163,1,1,"(0.0864018127322197, 0.3368467688560486)","(0.10415589064359665, 0.3722721338272095)",1,1,2.554412841796875,2.600799560546875,Fixation,POINT (0.0952788516879082 0.354559451341629),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
