,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,swapItems.0,int.0,index.0,int.1,change.0,if.0,index.1,>=.0,0.0,&&.0,index.2,<.0,allItems.0,length.0,&&.1,change.1,>=.1,0.1,&&.2,change.2,<.1,allItems.1,length.1,MenuItem.0,temp.0,=.0,allItems.2,index.3,allItems.3,index.4,=.1,allItems.4,change.3,allItems.5,change.4,=.2,temp.1,code,participant_summary
0,136,swapItems,36634895,1211645079468,20159470930,1,1,"(0.2791133522987366, 0.19576451182365417)","(0.2908768951892853, 0.17240524291992188)",1,1,2.3043670654296875,2.311859130859375,Fixation,POINT (0.2849951237440109 0.184084877371788),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645087802,20159479264,1,1,"(0.2811603546142578, 0.19139137864112854)","(0.2888789176940918, 0.16345557570457458)",1,1,2.30328369140625,2.311431884765625,Fixation,POINT (0.2850196361541748 0.1774234771728516),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645096135,20159487597,1,1,"(0.2854909300804138, 0.20084424316883087)","(0.2839575707912445, 0.16943886876106262)",1,1,2.295623779296875,2.3248291015625,Fixation,POINT (0.2847242504358292 0.1851415559649468),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645162805,20159554267,1,1,"(0.11596910655498505, 0.18188944458961487)","(0.12840017676353455, 0.16016970574855804)",1,1,2.2755889892578125,2.290496826171875,,POINT (0.1221846416592598 0.1710295751690865),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645171138,20159562600,1,1,"(0.11235450208187103, 0.1888550966978073)","(0.12592926621437073, 0.16444139182567596)",1,1,2.2766571044921875,2.28680419921875,Fixation,POINT (0.1191418841481209 0.1766482442617416),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645179471,20159570933,1,1,"(0.10762198269367218, 0.21067266166210175)","(0.13101761043071747, 0.16121815145015717)",1,1,2.2851715087890625,2.295440673828125,Fixation,POINT (0.1193197965621948 0.1859454065561295),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645187804,20159579266,1,1,"(0.10661835223436356, 0.20057499408721924)","(0.1213856115937233, 0.1623673141002655)",1,1,2.2639923095703125,2.2823028564453125,Fixation,POINT (0.1140019819140434 0.1814711540937424),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645196138,20159587600,1,1,"(0.11090333759784698, 0.18491582572460175)","(0.12812043726444244, 0.17636942863464355)",1,1,2.28173828125,2.309539794921875,Fixation,POINT (0.1195118874311447 0.1806426271796226),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645204472,20159595934,1,1,"(0.10947580635547638, 0.18638285994529724)","(0.12190169841051102, 0.16802018880844116)",1,1,2.282073974609375,2.30865478515625,Fixation,POINT (0.1156887523829937 0.1772015243768692),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645212805,20159604267,1,1,"(0.11506356298923492, 0.18439403176307678)","(0.1221807524561882, 0.14940331876277924)",1,1,2.276519775390625,2.2927398681640625,Fixation,POINT (0.1186221577227116 0.166898675262928),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645221139,20159612601,1,1,"(0.1210579052567482, 0.19327819347381592)","(0.11758999526500702, 0.14827506244182587)",1,1,2.300628662109375,2.28515625,Fixation,POINT (0.1193239502608776 0.1707766279578209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645229472,20159620934,1,1,"(0.11742889136075974, 0.18705487251281738)","(0.1217164695262909, 0.1566619724035263)",1,1,2.2763824462890625,2.275177001953125,Fixation,POINT (0.1195726804435253 0.1718584224581718),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645237806,20159629268,1,1,"(0.11549948900938034, 0.18390004336833954)","(0.11964703351259232, 0.16084250807762146)",1,1,2.29669189453125,2.295272827148437,Fixation,POINT (0.1175732612609863 0.1723712757229805),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645246139,20159637601,1,1,"(0.11922725290060043, 0.18272283673286438)","(0.11821074038743973, 0.15952739119529724)",1,1,2.29327392578125,2.29034423828125,Fixation,POINT (0.1187189966440201 0.1711251139640808),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645254470,20159645932,1,1,"(0.11129213124513626, 0.19867084920406342)","(0.1200653687119484, 0.16135331988334656)",1,1,2.272705078125,2.2936553955078125,Fixation,POINT (0.1156787499785423 0.180012084543705),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645262804,20159654266,1,1,"(0.1131504476070404, 0.1915205717086792)","(0.11921574920415878, 0.16306717693805695)",1,1,2.27069091796875,2.2895660400390625,Fixation,POINT (0.1161830984055996 0.1772938743233681),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645271137,20159662599,1,1,"(0.1133178099989891, 0.19984613358974457)","(0.12349557876586914, 0.16669009625911713)",1,1,2.2698974609375,2.2600555419921875,Fixation,POINT (0.1184066943824291 0.1832681149244308),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645279470,20159670932,1,1,"(0.11552079021930695, 0.20320577919483185)","(0.1218516007065773, 0.16940449178218842)",1,1,2.267303466796875,2.2965850830078125,Fixation,POINT (0.1186861954629421 0.1863051354885101),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645287806,20159679268,1,1,"(0.11709457635879517, 0.1983167827129364)","(0.12319521605968475, 0.1652131825685501)",1,1,2.295501708984375,2.309783935546875,Fixation,POINT (0.12014489620924 0.1817649826407433),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645296139,20159687601,1,1,"(0.11522576212882996, 0.20243428647518158)","(0.12384819239377975, 0.17322009801864624)",1,1,2.2937164306640625,2.2936248779296875,Fixation,POINT (0.1195369772613049 0.1878271922469139),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645304473,20159695935,1,1,"(0.11882730573415756, 0.18860304355621338)","(0.12168153375387192, 0.1569639891386032)",1,1,2.29730224609375,2.30804443359375,Fixation,POINT (0.1202544197440147 0.1727835163474083),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645312806,20159704268,1,1,"(0.12145677953958511, 0.19074277579784393)","(0.11434639990329742, 0.1585071086883545)",1,1,2.2759246826171875,2.284576416015625,Fixation,POINT (0.1179015897214413 0.1746249422430992),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645321139,20159712601,1,1,"(0.11242979764938354, 0.18955235183238983)","(0.12501084804534912, 0.16648148000240326)",1,1,2.28631591796875,2.2912750244140625,Fixation,POINT (0.1187203228473663 0.1780169159173966),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645329474,20159720936,1,1,"(0.11231359839439392, 0.19538584351539612)","(0.12703803181648254, 0.1702130138874054)",1,1,2.25970458984375,2.2854156494140625,Fixation,POINT (0.1196758151054382 0.1827994287014008),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645337808,20159729269,1,1,"(0.11534812301397324, 0.18930575251579285)","(0.12122197449207306, 0.16398131847381592)",1,1,2.28985595703125,2.277099609375,Fixation,POINT (0.1182850487530232 0.1766435354948044),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645346141,20159737602,1,1,"(0.12088371068239212, 0.195010244846344)","(0.1211925745010376, 0.1513671576976776)",1,1,2.312042236328125,2.2763824462890625,Fixation,POINT (0.1210381425917149 0.1731887012720108),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645354475,20159745936,1,1,"(0.10400066524744034, 0.19558386504650116)","(0.11256755143404007, 0.14735116064548492)",1,1,2.2895050048828125,2.2758331298828125,Fixation,POINT (0.1082841083407402 0.171467512845993),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645371141,20159762602,1,1,"(0.08275951445102692, 0.18815405666828156)","(0.10324389487504959, 0.1759209930896759)",1,1,2.2855377197265625,2.261505126953125,Fixation,POINT (0.0930017046630382 0.1820375248789787),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645379475,20159770936,1,1,"(0.09087476134300232, 0.18785971403121948)","(0.11654695868492126, 0.1621556431055069)",1,1,2.29925537109375,2.272689819335937,Fixation,POINT (0.1037108600139618 0.1750076785683632),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645387808,20159779269,1,1,"(0.08974182605743408, 0.19034162163734436)","(0.10014543682336807, 0.16594499349594116)",1,1,2.29534912109375,2.234832763671875,Fixation,POINT (0.0949436314404011 0.1781433075666428),,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645396141,20159787602,1,1,"(0.08354202657938004, 0.196243017911911)","(0.10024998337030411, 0.16363422572612762)",1,1,2.2992706298828125,2.2629852294921875,Fixation,POINT (0.0918960049748421 0.1799386218190193),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645404475,20159795936,1,1,"(0.08719850331544876, 0.21179284155368805)","(0.10838843882083893, 0.16431806981563568)",1,1,2.2920684814453125,2.2475738525390625,Fixation,POINT (0.0977934710681438 0.1880554556846619),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645412808,20159804269,1,1,"(0.0880984514951706, 0.19445784389972687)","(0.10684175044298172, 0.15586720407009125)",1,1,2.304061889648437,2.2785797119140625,Fixation,POINT (0.0974701009690762 0.1751625239849091),,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645421147,20159812608,1,1,"(0.09945294260978699, 0.18842871487140656)","(0.10354211926460266, 0.16672275960445404)",1,1,2.312286376953125,2.289154052734375,Fixation,POINT (0.1014975309371948 0.1775757372379303),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645429480,20159820941,1,1,"(0.0919143408536911, 0.1858307421207428)","(0.10875097662210464, 0.1632651835680008)",1,1,2.263290405273437,2.2623443603515625,Fixation,POINT (0.1003326587378979 0.1745479628443718),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645437814,20159829275,1,1,"(0.08706089854240417, 0.1976860612630844)","(0.10385118424892426, 0.16543447971343994)",1,1,2.2588348388671875,2.2963409423828125,Fixation,POINT (0.0954560413956642 0.1815602704882622),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645446147,20159837608,1,1,"(0.08338314294815063, 0.20203261077404022)","(0.10307544469833374, 0.1726931631565094)",1,1,2.2735137939453125,2.246551513671875,Fixation,POINT (0.0932292938232422 0.1873628869652748),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645454480,20159845941,1,1,"(0.0859411284327507, 0.19933685660362244)","(0.10500680655241013, 0.18161597847938538)",1,1,2.28887939453125,2.27435302734375,Fixation,POINT (0.0954739674925804 0.1904764175415039),,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645462814,20159854275,1,1,"(0.08860652148723602, 0.20032906532287598)","(0.10965919494628906, 0.16774359345436096)",1,1,2.2864532470703125,2.2528228759765625,Fixation,POINT (0.0991328582167625 0.1840363293886185),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,swapItems,36634895,1211645471147,20159862608,1,1,"(0.09070754796266556, 0.18555070459842682)","(0.11015071719884872, 0.16718538105487823)",1,1,2.27960205078125,2.2415313720703125,Fixation,POINT (0.1004291325807571 0.1763680428266525),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
