,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,String.0,getMessage.0,StringBuffer.0,sb.0,=.0,new.0,StringBuffer.1,if.0,messages.0,!=.0,nan.0,for.0,int.0,i.0,=.1,0.0,i.1,<.0,messages.1,size.0,i.2,Object.0,o.0,=.2,messages.2,elementAt.0,i.3,if.1,o.1,!=.1,nan.1,sb.1,append.0,o.2,toString.0,sb.2,append.1,"""|n"".0",return.0,sb.3,toString.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,getMessage,51122387,1209070296757,17584697790,1,1,"(0.05960466340184212, 0.1545463651418686)","(0.062351714819669724, 0.15397298336029053)",1,1,2.4808502197265625,2.48114013671875,Fixation,POINT (0.0609781891107559 0.1542596742510796),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070305090,17584706123,1,1,"(0.06372090429067612, 0.15112288296222687)","(0.06463595479726791, 0.16184023022651672)",1,1,2.4913787841796875,2.455718994140625,Fixation,POINT (0.064178429543972 0.1564815565943718),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070313424,17584714457,1,1,"(0.062137603759765625, 0.14085723459720612)","(0.0703645795583725, 0.16013170778751373)",1,1,2.4952392578125,2.460174560546875,Fixation,POINT (0.0662510916590691 0.1504944711923599),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070321757,17584722790,1,1,"(0.061402998864650726, 0.14368675649166107)","(0.06963660567998886, 0.16958490014076233)",1,1,2.499786376953125,2.456451416015625,Fixation,POINT (0.0655198022723198 0.1566358283162117),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070330090,17584731123,1,1,"(0.0605023019015789, 0.14000572264194489)","(0.06803041696548462, 0.1701650619506836)",1,1,2.498504638671875,2.461669921875,Fixation,POINT (0.0642663594335318 0.1550853922963142),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070338424,17584739457,1,1,"(0.058898910880088806, 0.14278770983219147)","(0.06505686044692993, 0.16159552335739136)",1,1,2.4890899658203125,2.457138061523437,Fixation,POINT (0.0619778856635094 0.1521916165947914),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070346757,17584747790,1,1,"(0.05997956171631813, 0.15144863724708557)","(0.06497107446193695, 0.1608993262052536)",1,1,2.49603271484375,2.4424591064453125,Fixation,POINT (0.0624753180891275 0.1561739817261696),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070355090,17584756123,1,1,"(0.05780099332332611, 0.14710363745689392)","(0.06227446347475052, 0.16176839172840118)",1,1,2.49652099609375,2.4550018310546875,Fixation,POINT (0.0600377283990383 0.1544360145926476),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070363424,17584764457,1,1,"(0.0621393620967865, 0.15496739745140076)","(0.06529780477285385, 0.16615109145641327)",1,1,2.4810791015625,2.4533843994140625,Fixation,POINT (0.0637185834348202 0.160559244453907),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070371757,17584772790,1,1,"(0.061868779361248016, 0.1466759592294693)","(0.07285074144601822, 0.165137380361557)",1,1,2.497299194335937,2.461334228515625,Fixation,POINT (0.0673597604036331 0.1559066697955132),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
