,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,appendDeclarations.0,LaTeXDocumentPortion.0,pack.0,LaTeXDocumentPortion.1,decl.0,if.0,bContainsEndnotes.0,pack.1,append.0,"""\\usepackage{endnotes}"".0",).0,nl.0,if.1,bContainsFootnotes.0,convertFootnotesConfiguration.0,decl.1,if.2,bContainsEndnotes.1,convertEndnotesConfiguration.0,decl.2,code,participant_summary
0,136,appendDeclarations,36405409,1211063523541,19577917224,1,1,"(0.5283018946647644, 0.10724803060293198)","(0.5309596657752991, 0.10415320843458176)",1,1,2.5427703857421875,2.6069793701171875,Fixation,POINT (0.5296307802200317 0.1057006195187569),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063531874,19577925557,1,1,"(0.5318705439567566, 0.10965841263532639)","(0.5338361859321594, 0.1093112975358963)",1,1,2.5545196533203125,2.615234375,Fixation,POINT (0.532853364944458 0.1094848550856113),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063540208,19577933891,1,1,"(0.5316734313964844, 0.10877344012260437)","(0.530597984790802, 0.10902868211269379)",1,1,2.5518951416015625,2.617034912109375,Fixation,POINT (0.5311357080936432 0.1089010611176491),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063548541,19577942224,1,1,"(0.5346200466156006, 0.10281790047883987)","(0.5362095236778259, 0.09867313504219055)",1,1,2.5662078857421875,2.6225738525390625,Fixation,POINT (0.5354147851467133 0.1007455177605152),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063556874,19577950557,1,1,"(0.537979006767273, 0.10675740242004395)","(0.5374584794044495, 0.09557819366455078)",1,1,2.5659942626953125,2.6151885986328125,Fixation,POINT (0.5377187430858612 0.1011677980422974),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063565208,19577958891,1,1,"(0.5371452569961548, 0.09926635771989822)","(0.5320725440979004, 0.10440908372402191)",1,1,2.55389404296875,2.61627197265625,Fixation,POINT (0.5346089005470276 0.1018377207219601),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063573545,19577967228,1,1,"(0.5339868068695068, 0.10143277794122696)","(0.5286157131195068, 0.10638832300901413)",1,1,2.540512084960937,2.612030029296875,Fixation,POINT (0.5313012599945068 0.1039105504751205),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063581878,19577975561,1,1,"(0.5369599461555481, 0.106168232858181)","(0.5278017520904541, 0.11114361137151718)",1,1,2.546493530273437,2.625717163085937,Fixation,POINT (0.5323808491230011 0.1086559221148491),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063590212,19577983895,1,1,"(0.5344763994216919, 0.10839581489562988)","(0.5290935039520264, 0.10841507464647293)",1,1,2.5236968994140625,2.6112518310546875,Fixation,POINT (0.5317849516868591 0.1084054447710514),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063598545,19577992228,1,1,"(0.5326157212257385, 0.1100526675581932)","(0.5325052738189697, 0.10549917072057724)",1,1,2.5499267578125,2.603622436523437,Fixation,POINT (0.5325604975223541 0.1077759191393852),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063606878,19578000561,1,1,"(0.531405508518219, 0.10809557884931564)","(0.5327211618423462, 0.09931856393814087)",1,1,2.510040283203125,2.6121063232421875,Fixation,POINT (0.5320633351802826 0.1037070713937283),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063615212,19578008895,1,1,"(0.5329272747039795, 0.10985169559717178)","(0.5359499454498291, 0.10527092218399048)",1,1,2.54779052734375,2.6124420166015625,Fixation,POINT (0.5344386100769043 0.1075613088905811),,,,,,,,,,,,,,,,,,,,,,,1,
0,136,appendDeclarations,36405409,1211063623546,19578017228,1,1,"(0.5369661450386047, 0.10675358027219772)","(0.5354911088943481, 0.10303729772567749)",1,1,2.5412750244140625,2.5933990478515625,Fixation,POINT (0.5362286269664764 0.1048954389989376),,,,,,,,,,,,,,,,,,,,,,,1,
