,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,messageSent.0,MessageEvent.0,e.0,String.0,str.0,=.0,e.1,getMessage.0,if.0,str.1,endsWith.0,DIR_ADDED.0,str.2,=.1,str.3,substring.0,DIRECTORY.0,length.0,str.4,indexOf.0,DIR_ADDED.1,)).0,trim.0,createCvsFiles.0,str.5,super.0,messageSent.1,e.2,code,participant_summary
0,136,messageSent,19413001,1211777276303,20291667233,1,1,"(0.4113049805164337, 0.26007184386253357)","(0.4208272397518158, 0.24451850354671478)",1,1,2.3116607666015625,2.3416748046875,Fixation,POINT (0.4160661101341248 0.2522951737046242),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,messageSent,19413001,1211777284643,20291675573,1,1,"(0.40974175930023193, 0.26516300439834595)","(0.42007648944854736, 0.23473723232746124)",1,1,2.3400421142578125,2.3269805908203125,Fixation,POINT (0.4149091243743896 0.2499501183629036),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,messageSent,19413001,1211777292976,20291683906,1,1,"(0.41563770174980164, 0.26391080021858215)","(0.4248379170894623, 0.24351999163627625)",1,1,2.344879150390625,2.333480834960937,Fixation,POINT (0.420237809419632 0.2537153959274292),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,messageSent,19413001,1211777301310,20291692239,1,1,"(0.4168248176574707, 0.2728903889656067)","(0.41704896092414856, 0.24602869153022766)",1,1,2.345489501953125,2.3166961669921875,Fixation,POINT (0.4169368892908096 0.2594595402479172),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,messageSent,19413001,1211777309644,20291700573,1,1,"(0.41866251826286316, 0.26943328976631165)","(0.42224565148353577, 0.24427521228790283)",1,1,2.313385009765625,2.319198608398437,Fixation,POINT (0.4204540848731995 0.2568542510271072),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,messageSent,19413001,1211777317977,20291708906,1,1,"(0.4210169017314911, 0.27890151739120483)","(0.42346957325935364, 0.2504488527774811)",1,1,2.304931640625,2.314697265625,Fixation,POINT (0.4222432374954224 0.264675185084343),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,messageSent,19413001,1211777376310,20291767239,1,1,"(0.07749099284410477, 0.2820129692554474)","(0.09294652938842773, 0.24787193536758423)",1,1,2.2711639404296875,2.2945556640625,Fixation,POINT (0.0852187611162662 0.2649424523115158),,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
0,136,messageSent,19413001,1211777384644,20291775573,1,1,"(0.07625474035739899, 0.2638140618801117)","(0.09336507320404053, 0.23199759423732758)",1,1,2.28448486328125,2.291366577148437,Fixation,POINT (0.0848099067807198 0.2479058280587196),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211777392977,20291783906,1,1,"(0.07465601712465286, 0.26328805088996887)","(0.08340424299240112, 0.23612774908542633)",1,1,2.2922515869140625,2.295166015625,Fixation,POINT (0.079030130058527 0.2497078999876976),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211777401310,20291792239,1,1,"(0.07661058753728867, 0.2620198428630829)","(0.09611491858959198, 0.2333444058895111)",1,1,2.303497314453125,2.316619873046875,Fixation,POINT (0.0863627530634403 0.247682124376297),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
