,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,testGetCodigo.0,System.0,out.0,println.0,"""getCodigo"".0",Cronograma.0,instance.0,=.0,nan.0,String.0,expResult.0,=.1,""""".0",String.1,result.0,=.2,instance.1,getCodigo.0,assertEquals.0,expResult.1,result.1,// TODO review the generated test code and remove the default call to fail..200,fail.0,"""The test case is a prototype. "".100",prewritten,accurate,missing,unnecessary,readable,code
0,136,testGetCodigo,11950130,1209775874000,18290272439,1,1,"(0.09564792364835739, 0.18978968262672424)","(0.11028630286455154, 0.19547757506370544)",1,1,2.466827392578125,2.459747314453125,Fixation,POINT (0.1029671132564545 0.1926336288452148),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209775882333,18290280772,1,1,"(0.09626376628875732, 0.18993030488491058)","(0.11191795021295547, 0.19213736057281494)",1,1,2.4836578369140625,2.4678192138671875,Fixation,POINT (0.1040908582508564 0.1910338327288628),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209775890667,18290289106,1,1,"(0.0937412902712822, 0.18420685827732086)","(0.11209126561880112, 0.19558170437812805)",1,1,2.472030639648437,2.46697998046875,Fixation,POINT (0.1029162779450417 0.1898942813277245),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209775899000,18290297439,1,1,"(0.0937223955988884, 0.18199823796749115)","(0.11300480365753174, 0.19647705554962158)",1,1,2.470458984375,2.446075439453125,Fixation,POINT (0.1033635996282101 0.1892376467585564),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209775907333,18290305772,1,1,"(0.09981831908226013, 0.18287546932697296)","(0.10878094285726547, 0.19671925902366638)",1,1,2.4589385986328125,2.4615631103515625,Fixation,POINT (0.1042996309697628 0.1897973641753197),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209775915666,18290314105,1,1,"(0.0971759483218193, 0.1883166879415512)","(0.10917431116104126, 0.1969907581806183)",1,1,2.4503326416015625,2.4628143310546875,Fixation,POINT (0.1031751297414303 0.1926537230610848),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209775923998,18290322437,1,1,"(0.09717978537082672, 0.1841670572757721)","(0.1115957498550415, 0.18989363312721252)",1,1,2.48016357421875,2.439804077148437,Fixation,POINT (0.1043877676129341 0.1870303452014923),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209775932331,18290330770,1,1,"(0.10211075097322464, 0.1880212426185608)","(0.10961990058422089, 0.19245809316635132)",1,1,2.4678192138671875,2.448760986328125,Fixation,POINT (0.1058653257787228 0.190239667892456),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209775940664,18290339103,1,1,"(0.10061600804328918, 0.18525612354278564)","(0.10878614336252213, 0.18882863223552704)",1,1,2.453582763671875,2.4509429931640625,Fixation,POINT (0.1047010757029056 0.1870423778891563),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209775948998,18290347437,1,1,"(0.09896355867385864, 0.18512408435344696)","(0.10997109860181808, 0.1901823878288269)",1,1,2.462127685546875,2.456649780273437,Fixation,POINT (0.1044673286378384 0.1876532360911369),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209775957331,18290355770,1,1,"(0.10138069093227386, 0.1842004358768463)","(0.10985774546861649, 0.1883811354637146)",1,1,2.456939697265625,2.447052001953125,Fixation,POINT (0.1056192182004452 0.1862907856702805),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209775965665,18290364104,1,1,"(0.09743842482566833, 0.1826665848493576)","(0.11199527233839035, 0.18705213069915771)",1,1,2.4549102783203125,2.4562530517578125,Fixation,POINT (0.1047168485820293 0.1848593577742577),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209775973998,18290372437,1,1,"(0.100919708609581, 0.18391229212284088)","(0.11039558053016663, 0.18944151699543)",1,1,2.465789794921875,2.457061767578125,Fixation,POINT (0.1056576445698738 0.1866769045591354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209775982332,18290380770,1,1,"(0.0973595529794693, 0.1847069263458252)","(0.10875824093818665, 0.19367355108261108)",1,1,2.4545135498046875,2.4524383544921875,Fixation,POINT (0.103058896958828 0.1891902387142181),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209775990665,18290389103,1,1,"(0.09914669394493103, 0.1893518567085266)","(0.10973234474658966, 0.20011712610721588)",1,1,2.4532928466796875,2.455413818359375,Fixation,POINT (0.1044395193457604 0.1947344914078712),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209775999005,18290397443,1,1,"(0.09715289622545242, 0.1817810982465744)","(0.11275143176317215, 0.19740726053714752)",1,1,2.459457397460937,2.4522247314453125,Fixation,POINT (0.1049521639943123 0.189594179391861),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776007339,18290405776,1,1,"(0.09691942483186722, 0.18613110482692719)","(0.1095312088727951, 0.19390970468521118)",1,1,2.464569091796875,2.4613494873046875,Fixation,POINT (0.1032253168523312 0.1900204047560692),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776015672,18290414109,1,1,"(0.09657860547304153, 0.18678729236125946)","(0.10957226157188416, 0.1972638964653015)",1,1,2.454132080078125,2.4629364013671875,Fixation,POINT (0.1030754335224628 0.1920255944132805),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776024006,18290422443,1,1,"(0.09465266764163971, 0.18833895027637482)","(0.11064019054174423, 0.1925159990787506)",1,1,2.459564208984375,2.4679412841796875,Fixation,POINT (0.102646429091692 0.1904274746775627),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776032339,18290430776,1,1,"(0.09636645764112473, 0.18335427343845367)","(0.11258289963006973, 0.19395819306373596)",1,1,2.458114624023437,2.4652862548828125,Fixation,POINT (0.1044746786355972 0.1886562332510948),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776040673,18290439110,1,1,"(0.09306202828884125, 0.18441741168498993)","(0.10998006165027618, 0.19282181560993195)",1,1,2.453643798828125,2.4658355712890625,Fixation,POINT (0.1015210449695587 0.1886196136474609),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776049005,18290447442,1,1,"(0.09598081558942795, 0.19046534597873688)","(0.1079956442117691, 0.18884378671646118)",1,1,2.45849609375,2.4680328369140625,Fixation,POINT (0.1019882299005985 0.189654566347599),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776074006,18290472443,1,1,"(0.15921521186828613, 0.2196672409772873)","(0.17350880801677704, 0.233721062541008)",1,1,2.487167358398437,2.4869384765625,Fixation,POINT (0.1663620099425316 0.2266941517591476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776082339,18290480776,1,1,"(0.16285212337970734, 0.2321271300315857)","(0.17366249859333038, 0.239435613155365)",1,1,2.489349365234375,2.4784698486328125,Fixation,POINT (0.1682573109865189 0.2357813715934753),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776090673,18290489110,1,1,"(0.16058984398841858, 0.23045490682125092)","(0.17036929726600647, 0.24121010303497314)",1,1,2.4825592041015625,2.479461669921875,Fixation,POINT (0.1654795706272125 0.235832504928112),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776099006,18290497443,1,1,"(0.16016902029514313, 0.23139478266239166)","(0.17461667954921722, 0.24233420193195343)",1,1,2.4768829345703125,2.4791412353515625,Fixation,POINT (0.1673928499221802 0.2368644922971726),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776107339,18290505776,1,1,"(0.1599394977092743, 0.23421478271484375)","(0.1721932291984558, 0.23954357206821442)",1,1,2.4751739501953125,2.47613525390625,Fixation,POINT (0.166066363453865 0.2368791773915291),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776115672,18290514109,1,1,"(0.15971358120441437, 0.2271171659231186)","(0.17327287793159485, 0.2352457046508789)",1,1,2.4771881103515625,2.48663330078125,Fixation,POINT (0.1664932295680046 0.2311814352869988),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776124006,18290522443,1,1,"(0.15975253283977509, 0.2280135154724121)","(0.17356348037719727, 0.24473024904727936)",1,1,2.475616455078125,2.480575561523437,Fixation,POINT (0.1666580066084862 0.2363718822598457),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776132343,18290530780,1,1,"(0.15961648523807526, 0.2332715094089508)","(0.1758994460105896, 0.2472117394208908)",1,1,2.471649169921875,2.46405029296875,Fixation,POINT (0.1677579656243324 0.2402416244149208),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776140677,18290539114,1,1,"(0.16097253561019897, 0.23064081370830536)","(0.1736484318971634, 0.24327822029590607)",1,1,2.4751129150390625,2.47314453125,Fixation,POINT (0.1673104837536812 0.2369595170021057),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776149010,18290547447,1,1,"(0.1590556800365448, 0.2280735969543457)","(0.17368169128894806, 0.24085521697998047)",1,1,2.479843139648437,2.461700439453125,Fixation,POINT (0.1663686856627464 0.2344644069671631),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776157343,18290555780,1,1,"(0.1601574867963791, 0.2308739721775055)","(0.1725970059633255, 0.24253030121326447)",1,1,2.4665069580078125,2.4759521484375,Fixation,POINT (0.1663772463798523 0.236702136695385),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776165676,18290564113,1,1,"(0.16373901069164276, 0.22745725512504578)","(0.17421597242355347, 0.23926731944084167)",1,1,2.470565795898437,2.462982177734375,Fixation,POINT (0.1689774915575981 0.2333622872829437),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776174010,18290572447,1,1,"(0.16429860889911652, 0.23209188878536224)","(0.17502805590629578, 0.24042823910713196)",1,1,2.4695587158203125,2.459197998046875,Fixation,POINT (0.1696633324027062 0.2362600639462471),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776182343,18290580780,1,1,"(0.1630881279706955, 0.23081105947494507)","(0.17134974896907806, 0.23919421434402466)",1,1,2.4671173095703125,2.4777984619140625,Fixation,POINT (0.1672189384698868 0.2350026369094849),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776190676,18290589113,1,1,"(0.16341525316238403, 0.2291920930147171)","(0.17401260137557983, 0.242469921708107)",1,1,2.4670867919921875,2.4781646728515625,Fixation,POINT (0.1687139272689819 0.235831007361412),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776199009,18290597446,1,1,"(0.16103246808052063, 0.23753632605075836)","(0.1757982075214386, 0.23946703970432281)",1,1,2.47247314453125,2.4602813720703125,Fixation,POINT (0.1684153378009796 0.2385016828775406),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776207343,18290605780,1,1,"(0.16115862131118774, 0.22869111597537994)","(0.17498905956745148, 0.24103157222270966)",1,1,2.4603271484375,2.4757080078125,Fixation,POINT (0.1680738404393196 0.2348613440990448),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776215677,18290614114,1,1,"(0.16161812841892242, 0.23527716100215912)","(0.17358306050300598, 0.23575140535831451)",1,1,2.462677001953125,2.461944580078125,Fixation,POINT (0.1676005944609642 0.2355142831802368),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776224010,18290622447,1,1,"(0.16174378991127014, 0.23377780616283417)","(0.17294827103614807, 0.2470504194498062)",1,1,2.4630889892578125,2.480194091796875,Fixation,POINT (0.1673460304737091 0.2404141128063202),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776232343,18290630780,1,1,"(0.163199320435524, 0.23351937532424927)","(0.1742343157529831, 0.242947518825531)",1,1,2.471527099609375,2.4679412841796875,Fixation,POINT (0.1687168180942535 0.2382334470748901),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776240676,18290639113,1,1,"(0.16450932621955872, 0.2304345667362213)","(0.17554055154323578, 0.2416621595621109)",1,1,2.4578399658203125,2.463165283203125,Fixation,POINT (0.1700249388813972 0.2360483631491661),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776249010,18290647446,1,1,"(0.16295480728149414, 0.2318100929260254)","(0.1736743450164795, 0.24303817749023438)",1,1,2.45098876953125,2.466171264648437,Fixation,POINT (0.1683145761489868 0.2374241352081299),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776257344,18290655780,1,1,"(0.1640167534351349, 0.22535765171051025)","(0.17372815310955048, 0.24220208823680878)",1,1,2.47283935546875,2.47576904296875,Fixation,POINT (0.1688724532723427 0.2337798699736595),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776265683,18290664119,1,1,"(0.16311585903167725, 0.23179937899112701)","(0.1730758100748062, 0.2453954666852951)",1,1,2.46484375,2.4615936279296875,Fixation,POINT (0.1680958345532417 0.2385974228382111),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776274015,18290672451,1,1,"(0.16374507546424866, 0.22781923413276672)","(0.17181681096553802, 0.24717913568019867)",1,1,2.4609527587890625,2.466033935546875,Fixation,POINT (0.1677809432148933 0.2374991849064827),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776282349,18290680785,1,1,"(0.16125869750976562, 0.23018960654735565)","(0.17291107773780823, 0.24000470340251923)",1,1,2.465072631835937,2.466461181640625,Fixation,POINT (0.1670848876237869 0.2350971549749374),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776290682,18290689118,1,1,"(0.16537734866142273, 0.22751513123512268)","(0.17113614082336426, 0.2410750836133957)",1,1,2.4639892578125,2.47283935546875,Fixation,POINT (0.1682567447423935 0.2342951074242592),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776299016,18290697452,1,1,"(0.16690953075885773, 0.23142117261886597)","(0.17147526144981384, 0.24265535175800323)",1,1,2.464599609375,2.467926025390625,Fixation,POINT (0.1691923961043358 0.2370382621884346),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testGetCodigo,11950130,1209776315682,18290714118,1,1,"(0.18869449198246002, 0.23875440657138824)","(0.19753189384937286, 0.25373730063438416)",1,1,2.4367828369140625,2.466705322265625,Fixation,POINT (0.1931131929159164 0.2462458536028862),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
