,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,List.0,getAll.0,Object.0,key.0,Object.1,value.0,=.0,mMap.0,get.0,key.1,if.0,value.1,instanceof.0,List.1,return.0,List.2,value.2,else.0,List.3,list.0,=.1,new.0,ArrayList.0,if.1,value.3,!=.0,nan.0,||.0,mMap.1,containsKey.0,key.2,list.1,add.0,value.4,mMap.2,put.0,key.3,list.2,return.1,list.3,prewritten,accurate,missing,unnecessary,readable,code
0,136,getAll,15689897,1208206322976,16720726173,1,1,"(0.7384510636329651, 0.7108293175697327)","(0.7369775772094727, 0.7210653424263)",1,1,2.6114959716796875,2.618377685546875,Fixation,POINT (0.7377143204212189 0.7159473299980164),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206331310,16720734507,1,1,"(0.7348446249961853, 0.6991999745368958)","(0.7338435649871826, 0.7215076088905334)",1,1,2.604034423828125,2.6373748779296875,Fixation,POINT (0.734344094991684 0.7103537917137146),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206339643,16720742840,1,1,"(0.7330712676048279, 0.7071235775947571)","(0.7344892621040344, 0.7293391227722168)",1,1,2.630523681640625,2.6622314453125,Fixation,POINT (0.7337802648544312 0.7182313501834869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206347979,16720751176,1,1,"(0.7310232520103455, 0.7015355229377747)","(0.7386154532432556, 0.7221211791038513)",1,1,2.596466064453125,2.6608123779296875,Fixation,POINT (0.7348193526268005 0.711828351020813),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206356313,16720759510,1,1,"(0.7251220345497131, 0.7052701115608215)","(0.7416593432426453, 0.724841296672821)",1,1,2.609603881835937,2.627197265625,Fixation,POINT (0.7333906888961792 0.7150557041168213),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206364646,16720767843,1,1,"(0.7237693667411804, 0.7148457765579224)","(0.7397539615631104, 0.7161266207695007)",1,1,2.629058837890625,2.647933959960937,Fixation,POINT (0.7317616641521454 0.7154861986637115),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206372979,16720776176,1,1,"(0.7264034748077393, 0.7071046829223633)","(0.7367983460426331, 0.7127565741539001)",1,1,2.6065826416015625,2.638290405273437,Fixation,POINT (0.7316009104251862 0.7099306285381317),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206381313,16720784510,1,1,"(0.7244991660118103, 0.7208777666091919)","(0.7368630170822144, 0.717521607875824)",1,1,2.630355834960937,2.6516571044921875,Fixation,POINT (0.7306810915470123 0.7191996872425079),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206389646,16720792843,1,1,"(0.7297578454017639, 0.716145932674408)","(0.7378408312797546, 0.7176126837730408)",1,1,2.616302490234375,2.648178100585937,Fixation,POINT (0.7337993383407593 0.7168793082237244),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206397979,16720801176,1,1,"(0.7257406711578369, 0.7191145420074463)","(0.7313726544380188, 0.7190221548080444)",1,1,2.632110595703125,2.6688385009765625,Fixation,POINT (0.7285566627979279 0.7190683484077454),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206406313,16720809510,1,1,"(0.7220401763916016, 0.7224035859107971)","(0.7375800013542175, 0.7131461501121521)",1,1,2.63250732421875,2.6265106201171875,Fixation,POINT (0.7298100888729095 0.7177748680114746),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206414646,16720817843,1,1,"(0.725842297077179, 0.7198055982589722)","(0.7332618832588196, 0.7130498886108398)",1,1,2.63128662109375,2.6319580078125,Fixation,POINT (0.7295520901679993 0.716427743434906),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206422979,16720826176,1,1,"(0.7220636010169983, 0.7198556661605835)","(0.7326178550720215, 0.7141261100769043)",1,1,2.6223907470703125,2.6307525634765625,Fixation,POINT (0.7273407280445099 0.7169908881187439),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206431313,16720834510,1,1,"(0.7187613844871521, 0.7183513045310974)","(0.7290391325950623, 0.7144716382026672)",1,1,2.64874267578125,2.641876220703125,Fixation,POINT (0.7239002585411072 0.7164114713668823),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206439646,16720842843,1,1,"(0.7250104546546936, 0.7158712148666382)","(0.7276109457015991, 0.7139747738838196)",1,1,2.631805419921875,2.647186279296875,Fixation,POINT (0.7263107001781464 0.7149229943752289),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206447979,16720851176,1,1,"(0.7244794964790344, 0.7173498868942261)","(0.7274731397628784, 0.7227774262428284)",1,1,2.651824951171875,2.6789703369140625,Fixation,POINT (0.7259763181209564 0.7200636565685272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206456313,16720859510,1,1,"(0.7218403816223145, 0.717248260974884)","(0.726518988609314, 0.7131726145744324)",1,1,2.649749755859375,2.6779937744140625,Fixation,POINT (0.7241796851158142 0.7152104377746582),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206464646,16720867843,1,1,"(0.7270946502685547, 0.7122495770454407)","(0.731316864490509, 0.7169734239578247)",1,1,2.620361328125,2.6564178466796875,Fixation,POINT (0.7292057573795319 0.7146115005016327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206472979,16720876176,1,1,"(0.7227996587753296, 0.7205666303634644)","(0.7277102470397949, 0.7227259874343872)",1,1,2.6226348876953125,2.6761474609375,Fixation,POINT (0.7252549529075623 0.7216463088989258),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206481321,16720884518,1,1,"(0.7189592123031616, 0.7178475260734558)","(0.7302667498588562, 0.7150107026100159)",1,1,2.6432037353515625,2.6521148681640625,Fixation,POINT (0.7246129810810089 0.7164291143417358),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206489654,16720892851,1,1,"(0.7277582883834839, 0.7178363800048828)","(0.7260660529136658, 0.7223723530769348)",1,1,2.6245574951171875,2.671661376953125,Fixation,POINT (0.7269121706485748 0.7201043665409088),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206497987,16720901184,1,1,"(0.7270148396492004, 0.7078772783279419)","(0.7315990328788757, 0.719818115234375)",1,1,2.638336181640625,2.68450927734375,Fixation,POINT (0.7293069362640381 0.7138476967811584),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206506321,16720909518,1,1,"(0.7289129495620728, 0.7150819301605225)","(0.734963595867157, 0.726769745349884)",1,1,2.637680053710937,2.666366577148437,Fixation,POINT (0.7319382727146149 0.7209258377552032),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206514654,16720917851,1,1,"(0.7313680648803711, 0.7117489576339722)","(0.7310218214988708, 0.7241528630256653)",1,1,2.625106811523437,2.670639038085937,Fixation,POINT (0.731194943189621 0.7179509103298187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206522987,16720926184,1,1,"(0.7326408624649048, 0.709761381149292)","(0.7350724339485168, 0.7196293473243713)",1,1,2.6452789306640625,2.690765380859375,Fixation,POINT (0.7338566482067108 0.7146953642368317),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206531321,16720934518,1,1,"(0.7363876104354858, 0.7063973546028137)","(0.732362687587738, 0.7323356866836548)",1,1,2.640869140625,2.6904296875,Fixation,POINT (0.7343751490116119 0.7193665206432343),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206539654,16720942851,1,1,"(0.7345320582389832, 0.7067392468452454)","(0.7302521467208862, 0.7321192622184753)",1,1,2.6219635009765625,2.6867218017578125,Fixation,POINT (0.7323921024799347 0.7194292545318604),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206547987,16720951184,1,1,"(0.7327621579170227, 0.7058144807815552)","(0.7368160486221313, 0.7212286591529846)",1,1,2.6354522705078125,2.66400146484375,Fixation,POINT (0.734789103269577 0.7135215699672699),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206556321,16720959518,1,1,"(0.7290686964988708, 0.706670880317688)","(0.7328985333442688, 0.7289270758628845)",1,1,2.642730712890625,2.696395874023437,Fixation,POINT (0.7309836149215698 0.7177989780902863),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206564655,16720967851,1,1,"(0.7278987169265747, 0.7057517170906067)","(0.7329544425010681, 0.7327330112457275)",1,1,2.6331939697265625,2.665924072265625,Fixation,POINT (0.7304265797138214 0.7192423641681671),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206572988,16720976184,1,1,"(0.7245285511016846, 0.7115767598152161)","(0.7328330278396606, 0.7332271337509155)",1,1,2.647689819335937,2.6743927001953125,Fixation,POINT (0.7286807894706726 0.7224019467830658),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206581322,16720984518,1,1,"(0.72690349817276, 0.7064522504806519)","(0.7322953939437866, 0.7291285395622253)",1,1,2.640472412109375,2.674560546875,Fixation,POINT (0.7295994460582733 0.7177903950214386),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206589655,16720992851,1,1,"(0.7281729578971863, 0.6996933817863464)","(0.7299721240997314, 0.7323850989341736)",1,1,2.6346435546875,2.6669464111328125,Fixation,POINT (0.7290725409984589 0.71603924036026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206597988,16721001184,1,1,"(0.7230613827705383, 0.7118852734565735)","(0.7331194877624512, 0.7249438762664795)",1,1,2.6565399169921875,2.6787567138671875,Fixation,POINT (0.7280904352664948 0.7184145748615265),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206606322,16721009518,1,1,"(0.7274203300476074, 0.7035987377166748)","(0.7343871593475342, 0.7206623554229736)",1,1,2.649261474609375,2.642791748046875,Fixation,POINT (0.7309037446975708 0.7121305465698242),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getAll,15689897,1208206614657,16721017853,1,1,"(0.7234543561935425, 0.7069984078407288)","(0.7372735738754272, 0.7312084436416626)",1,1,2.651229858398437,2.6788787841796875,Fixation,POINT (0.7303639650344849 0.7191034257411957),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
