,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,go.0,String.0,theUserName.0,try.0,new.0,ChatUI.0,MessageInputReceiver.0,this.0,theUserName.1,// shake hands.200,writer.0,println.0,theUserName.2,writer.1,flush.0,// OK means init with server went well.201,if.0,reader.0,readLine.0,equals.0,"""OK"".0",initialized.0,=.0,TRUE.0,readChat.0,else.0,bailOut.0,new.1,IOException.0,"""handshake failed"".100",catch.0,IOException.1,ioe.0,bailOut.1,ioe.1,catch.1,Exception.0,e.0,bailOut.2,e.1,code,participant_summary
0,136,go,14477536,1211651479724,20165871159,1,1,"(0.21029211580753326, 0.22374670207500458)","(0.2081296592950821, 0.18346437811851501)",1,1,2.5703125,2.6034393310546875,Fixation,POINT (0.2092108875513077 0.2036055400967598),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651488058,20165879493,1,1,"(0.2112838476896286, 0.23868021368980408)","(0.20442968606948853, 0.19118933379650116)",1,1,2.598236083984375,2.604232788085937,Fixation,POINT (0.2078567668795586 0.2149347737431526),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651496391,20165887826,1,1,"(0.2114410549402237, 0.24456802010536194)","(0.20623578131198883, 0.18869534134864807)",1,1,2.571517944335937,2.6064910888671875,Fixation,POINT (0.2088384181261063 0.216631680727005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651504724,20165896159,1,1,"(0.2078118622303009, 0.23713339865207672)","(0.20037628710269928, 0.1955198496580124)",1,1,2.5802154541015625,2.61334228515625,Fixation,POINT (0.2040940746665001 0.2163266241550446),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651513058,20165904493,1,1,"(0.20837844908237457, 0.2265130579471588)","(0.20669594407081604, 0.1940639168024063)",1,1,2.585205078125,2.597763061523437,Fixation,POINT (0.2075371965765953 0.2102884873747826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651521392,20165912826,1,1,"(0.21056145429611206, 0.2236422598361969)","(0.20729197561740875, 0.18911291658878326)",1,1,2.55731201171875,2.6048126220703125,Fixation,POINT (0.2089267149567604 0.2063775882124901),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651529725,20165921159,1,1,"(0.2074822038412094, 0.21919779479503632)","(0.21190156042575836, 0.1945306360721588)",1,1,2.5728759765625,2.611907958984375,Fixation,POINT (0.2096918821334839 0.2068642154335976),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651538059,20165929493,1,1,"(0.21176789700984955, 0.23118962347507477)","(0.21395479142665863, 0.2032124251127243)",1,1,2.57861328125,2.641464233398437,Fixation,POINT (0.2128613442182541 0.2172010242938995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651546392,20165937826,1,1,"(0.21012631058692932, 0.23505805432796478)","(0.21187818050384521, 0.1914406716823578)",1,1,2.578277587890625,2.5989532470703125,Fixation,POINT (0.2110022455453873 0.2132493630051613),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651554725,20165946159,1,1,"(0.2114594727754593, 0.2298174798488617)","(0.20721012353897095, 0.18802811205387115)",1,1,2.555160522460937,2.617294311523437,Fixation,POINT (0.2093347981572151 0.2089227959513664),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
