,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,testValidateSeparationCount.0,try.0,LinearDimension.0,validateSeparationCount.0,0.0,fail.0,catch.0,IllegalArgumentException.0,ex.0,// ok.200,try.1,LinearDimension.1,validateSeparationCount.1,-.0,2.0,fail.1,catch.1,IllegalArgumentException.1,ex.1,// ok.201,LinearDimension.2,validateSeparationCount.2,1.0,LinearDimension.3,validateSeparationCount.3,2988.0,code,participant_summary
0,136,testValidateSeparationCount,26285656,1212217501881,20731891026,1,1,"(0.2536056339740753, 0.4824133515357971)","(0.278105765581131, 0.47600698471069336)",1,1,2.399139404296875,2.44586181640625,Fixation,POINT (0.2658556997776032 0.4792101681232452),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212217510214,20731899359,1,1,"(0.2566157579421997, 0.4726933240890503)","(0.2733103632926941, 0.47335192561149597)",1,1,2.392059326171875,2.430572509765625,Fixation,POINT (0.2649630606174469 0.4730226248502731),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217518547,20731907692,1,1,"(0.25843507051467896, 0.4887450933456421)","(0.27074217796325684, 0.4851554036140442)",1,1,2.37774658203125,2.422210693359375,Fixation,POINT (0.2645886242389679 0.4869502484798431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212217526881,20731916026,1,1,"(0.263653963804245, 0.47688373923301697)","(0.2702403664588928, 0.4912636876106262)",1,1,2.404525756835937,2.4379425048828125,Fixation,POINT (0.2669471651315689 0.4840737134218216),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212217535214,20731924359,1,1,"(0.258952796459198, 0.47560715675354004)","(0.2802349328994751, 0.48027878999710083)",1,1,2.3702545166015625,2.4458160400390625,Fixation,POINT (0.2695938646793366 0.4779429733753204),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,136,testValidateSeparationCount,26285656,1212217543547,20731932692,1,1,"(0.2572956383228302, 0.48575472831726074)","(0.27758607268333435, 0.4759761393070221)",1,1,2.423858642578125,2.448272705078125,Fixation,POINT (0.2674408555030823 0.4808654338121414),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212217551881,20731941026,1,1,"(0.26306191086769104, 0.4920423626899719)","(0.27374160289764404, 0.4747762978076935)",1,1,2.394744873046875,2.459823608398437,Fixation,POINT (0.2684017568826675 0.4834093302488327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212217560214,20731949359,1,1,"(0.2671734392642975, 0.4926111102104187)","(0.27040186524391174, 0.4711235463619232)",1,1,2.3999176025390625,2.433624267578125,Fixation,POINT (0.2687876522541046 0.481867328286171),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212217568547,20731957692,1,1,"(0.2639344334602356, 0.489996999502182)","(0.2770405411720276, 0.4718784987926483)",1,1,2.403106689453125,2.4441070556640625,Fixation,POINT (0.2704874873161316 0.4809377491474152),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217576884,20731966029,1,1,"(0.2620477080345154, 0.494639128446579)","(0.2769077718257904, 0.4872704744338989)",1,1,2.4180908203125,2.4603271484375,Fixation,POINT (0.2694777399301529 0.490954801440239),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,136,testValidateSeparationCount,26285656,1212217585218,20731974363,1,1,"(0.26427751779556274, 0.48040497303009033)","(0.2753724455833435, 0.4933655261993408)",1,1,2.3824920654296875,2.4471588134765625,Fixation,POINT (0.2698249816894531 0.4868852496147156),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212217593551,20731982696,1,1,"(0.25618404150009155, 0.4720081686973572)","(0.27581357955932617, 0.4736563265323639)",1,1,2.4108123779296875,2.4407958984375,Fixation,POINT (0.2659988105297089 0.4728322476148605),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217601885,20731991030,1,1,"(0.2630758583545685, 0.4922034740447998)","(0.28023436665534973, 0.4807524085044861)",1,1,2.3891143798828125,2.443084716796875,Fixation,POINT (0.2716551125049591 0.4864779412746429),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212217610218,20731999363,1,1,"(0.2592305541038513, 0.47829681634902954)","(0.2800939083099365, 0.4824484586715698)",1,1,2.4049224853515625,2.432342529296875,Fixation,POINT (0.2696622312068939 0.4803726375102997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217618551,20732007696,1,1,"(0.25842225551605225, 0.47642403841018677)","(0.2733427584171295, 0.46155422925949097)",1,1,2.402435302734375,2.450057983398437,Fixation,POINT (0.2658825069665909 0.4689891338348389),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217626884,20732016029,1,1,"(0.2476295381784439, 0.48928534984588623)","(0.2657333016395569, 0.46936970949172974)",1,1,2.4014892578125,2.426742553710937,Fixation,POINT (0.2566814199090004 0.479327529668808),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212217635218,20732024363,1,1,"(0.24586224555969238, 0.4655160903930664)","(0.26073142886161804, 0.4631284177303314)",1,1,2.4021759033203125,2.438720703125,Fixation,POINT (0.2532968372106552 0.4643222540616989),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212217643551,20732032696,1,1,"(0.25461143255233765, 0.45716387033462524)","(0.26208555698394775, 0.45957663655281067)",1,1,2.427719116210937,2.442001342773437,Fixation,POINT (0.2583484947681427 0.458370253443718),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217651884,20732041029,1,1,"(0.24442555010318756, 0.45804157853126526)","(0.26760363578796387, 0.45552265644073486)",1,1,2.39971923828125,2.4499664306640625,Fixation,POINT (0.2560145929455757 0.4567821174860001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217660218,20732049363,1,1,"(0.24214142560958862, 0.4767914116382599)","(0.26783519983291626, 0.45244717597961426)",1,1,2.4073486328125,2.4415283203125,Fixation,POINT (0.2549883127212524 0.4646192938089371),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212217668551,20732057696,1,1,"(0.250461608171463, 0.4683489203453064)","(0.26472875475883484, 0.45276644825935364)",1,1,2.39410400390625,2.436920166015625,Fixation,POINT (0.2575951814651489 0.46055768430233),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217676884,20732066029,1,1,"(0.2453136146068573, 0.4718039035797119)","(0.2632300853729248, 0.4487799406051636)",1,1,2.39788818359375,2.424896240234375,Fixation,POINT (0.254271849989891 0.4602919220924377),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
