,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,WebImage.0,getImageWithSource.0,String.0,source.0,WebImage.1,images.0,=.0,getImages.0,for.0,int.0,i.0,=.1,0.0,i.1,<.0,images.1,length.0,i.2,if.0,HttpUnitUtils.0,matches.0,source.1,images.2,i.3,].0,getSource.0,return.0,images.3,i.4,return.1,nan.0,code,participant_summary
0,136,getImageWithSource,1782360,1212452711129,20967099283,1,1,"(0.7584741115570068, 0.22012978792190552)","(0.7610107660293579, 0.21907256543636322)",1,1,2.6080322265625,2.5309295654296875,Fixation,POINT (0.7597424387931824 0.2196011766791344),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452719463,20967107617,1,1,"(0.7599565386772156, 0.21224147081375122)","(0.7659398913383484, 0.2067738026380539)",1,1,2.608383178710937,2.514617919921875,Fixation,POINT (0.762948215007782 0.2095076367259026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452727800,20967115954,1,1,"(0.7585743069648743, 0.21451689302921295)","(0.7638874650001526, 0.19831503927707672)",1,1,2.5954742431640625,2.528106689453125,Fixation,POINT (0.7612308859825134 0.2064159661531448),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452736134,20967124288,1,1,"(0.7517579793930054, 0.21808230876922607)","(0.7627626657485962, 0.19676317274570465)",1,1,2.5758514404296875,2.51531982421875,Fixation,POINT (0.7572603225708008 0.2074227407574654),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452744467,20967132621,1,1,"(0.7575567960739136, 0.2210555523633957)","(0.7641478180885315, 0.20331072807312012)",1,1,2.603302001953125,2.518768310546875,Fixation,POINT (0.7608523070812225 0.2121831402182579),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452752800,20967140954,1,1,"(0.7547218799591064, 0.21246923506259918)","(0.7641262412071228, 0.19928136467933655)",1,1,2.60430908203125,2.5407867431640625,Fixation,POINT (0.7594240605831146 0.2058752998709679),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452761133,20967149287,1,1,"(0.7603050470352173, 0.20577673614025116)","(0.7584919929504395, 0.1986844837665558)",1,1,2.593353271484375,2.5180206298828125,Fixation,POINT (0.7593985199928284 0.2022306099534035),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452769467,20967157621,1,1,"(0.7614908218383789, 0.21909435093402863)","(0.7570955753326416, 0.20144407451152802)",1,1,2.6102294921875,2.52838134765625,Fixation,POINT (0.7592931985855103 0.2102692127227783),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452777800,20967165954,1,1,"(0.7392343282699585, 0.2237265557050705)","(0.7509943246841431, 0.19139650464057922)",1,1,2.6156005859375,2.5060272216796875,Fixation,POINT (0.7451143264770508 0.2075615301728249),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452802800,20967190954,1,1,"(0.649929404258728, 0.19605237245559692)","(0.6472957134246826, 0.20259232819080353)",1,1,2.601425170898437,2.54278564453125,Fixation,POINT (0.6486125588417053 0.1993223503232002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452811133,20967199287,1,1,"(0.6511071920394897, 0.19819210469722748)","(0.6507503986358643, 0.19816195964813232)",1,1,2.588287353515625,2.549407958984375,Fixation,POINT (0.650928795337677 0.1981770321726799),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452819467,20967207621,1,1,"(0.6492384672164917, 0.20420843362808228)","(0.6444652676582336, 0.19857308268547058)",1,1,2.580078125,2.5475616455078125,Fixation,POINT (0.6468518674373627 0.2013907581567764),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452827801,20967215954,1,1,"(0.6471678018569946, 0.1924615502357483)","(0.641982913017273, 0.19646982848644257)",1,1,2.597274780273437,2.5316314697265625,Fixation,POINT (0.6445753574371338 0.1944656893610954),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452836134,20967224287,1,1,"(0.6495358347892761, 0.19016054272651672)","(0.638819694519043, 0.1966608762741089)",1,1,2.5684051513671875,2.5280914306640625,Fixation,POINT (0.6441777646541595 0.1934107095003128),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452844468,20967232621,1,1,"(0.651423990726471, 0.1949651539325714)","(0.6467697620391846, 0.19121190905570984)",1,1,2.5840301513671875,2.537582397460937,Fixation,POINT (0.6490968763828278 0.1930885314941406),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452852801,20967240954,1,1,"(0.6440444588661194, 0.1949489265680313)","(0.6511660814285278, 0.19434532523155212)",1,1,2.5750732421875,2.5238189697265625,Fixation,POINT (0.6476052701473236 0.1946471258997917),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452861139,20967249292,1,1,"(0.6459378600120544, 0.2070883959531784)","(0.6555865406990051, 0.18910863995552063)",1,1,2.5818634033203125,2.542221069335937,Fixation,POINT (0.6507622003555298 0.1980985179543495),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452869473,20967257626,1,1,"(0.6518715023994446, 0.21392717957496643)","(0.6495476365089417, 0.19094419479370117)",1,1,2.594329833984375,2.521835327148437,Fixation,POINT (0.6507095694541931 0.2024356871843338),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452877806,20967265959,1,1,"(0.6498419046401978, 0.20446032285690308)","(0.6457250714302063, 0.20205050706863403)",1,1,2.580780029296875,2.516845703125,Fixation,POINT (0.647783488035202 0.2032554149627686),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452886139,20967274292,1,1,"(0.6488162875175476, 0.1985669881105423)","(0.6436554193496704, 0.19193238019943237)",1,1,2.5816192626953125,2.5348663330078125,Fixation,POINT (0.646235853433609 0.1952496841549873),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452894473,20967282626,1,1,"(0.6502763032913208, 0.18695572018623352)","(0.6508522629737854, 0.20013239979743958)",1,1,2.5845489501953125,2.514190673828125,Fixation,POINT (0.6505642831325531 0.1935440599918366),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452902806,20967290959,1,1,"(0.6580485105514526, 0.2021942287683487)","(0.6482328176498413, 0.19215483963489532)",1,1,2.591766357421875,2.5135650634765625,Fixation,POINT (0.653140664100647 0.197174534201622),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452911139,20967299292,1,1,"(0.6507646441459656, 0.21033358573913574)","(0.6402146816253662, 0.20761647820472717)",1,1,2.568588256835937,2.533798217773437,Fixation,POINT (0.6454896628856659 0.2089750319719315),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452919473,20967307626,1,1,"(0.6493945717811584, 0.20608416199684143)","(0.6477872133255005, 0.20821897685527802)",1,1,2.58453369140625,2.504867553710937,Fixation,POINT (0.6485908925533295 0.2071515694260597),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452927806,20967315959,1,1,"(0.6586798429489136, 0.2004995346069336)","(0.6463829874992371, 0.19466866552829742)",1,1,2.5811767578125,2.5199737548828125,Fixation,POINT (0.6525314152240753 0.1975841000676155),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452936139,20967324292,1,1,"(0.6445696949958801, 0.20752592384815216)","(0.6440801024436951, 0.1966339498758316)",1,1,2.5719146728515625,2.507781982421875,Fixation,POINT (0.6443248987197876 0.2020799368619919),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
