Participant,Quality,Method,functiondeclaration_FD,conditional_statement_FD,parameter_FD,variable_declaration_FD,loop_FD,argument_FD,functioncall_FD,externallydefinedvariableorfunction_FD,conditionalblock_FD,return_FD,exceptionhandling_FD,comment_FD,externalclass_FD,variable_FD,assignment_FD,literal_FD,operator_FD,operation_FD
182,1,invalidateSession,0.1161175972303478,,0.0,0.0333365000115009,,0.0444433333080571,0.07872224998780941,0.2169918205456471,,,,,,,,,,0.0
139,2,invalidateSession,0.0518529629631235,,0.13229174999969462,0.0285727142854739,,0.37596017202351,0.25376051037555347,0.2895430264701583,,,,,,,,,,0.0
155,2,play,0.0,0.1844510667103652,,,,,,,0.5080789342699282,,,,,,,,,
166,2,play,0.0333339999779127,0.0888843333814292,,,,,,,0.3529797571571214,,,,,,,,,
147,2,play,0.0838923666859045,0.199974053184798,,,,,,,0.2918527321124285,,,,,,,,,
155,2,saveToFile,0.0383334000012837,,0.0,0.0833375000453087,,0.0833373333249862,0.2854318749887169,,,,0.0458339999895542,,,0.0810019599692895,,,,
315,0,saveToFile,0.0333340000361204,,0.0865089999777928,0.1385768939876332,,0.0500016666774172,0.15286160508226943,,,,0.0,,,0.0222226666713443,,,,
136,1,testValidateSeparationCount,0.0666689998004584,,0.0416691999882459,,,0.0166660000104457,0.1763464344867747,,,,0.0388889998042334,0.0,0.2540764165155233,,,,,
186,1,testValidateSeparationCount,0.0333350000437349,,0.0,,,0.0,0.0508364000124856,,,,0.0,0.0,0.0,,,,,
318,1,testValidateSeparationCount,0.016666499999701,,0.0,,,0.0,0.04166849993634961,,,,0.0,0.0166660000104457,0.06666749998112201,,,,,
136,1,setGenJarDir,0.0166580001823604,0.0291670000879094,0.050008000107482,0.115940362474066,0.1751346364586648,0.1016650000121444,0.078614233346242,,,,,,,0.0,,,,
176,1,setGenJarDir,0.1218629855007958,0.1506977831983627,0.2566755856952762,0.2304193083953576,0.3220955834685201,0.1030577667212734,0.1451464167017816,,,,,,,0.0166670000180602,,,,
155,2,setGenJarDir,0.0383333999896422,0.0,0.1972255833388771,0.2437580000259911,0.168987422203645,0.0589300714158785,0.1069506666632756,,,,,,,0.0,,,,
117,1,setGenJarDir,0.1131925523755073,0.0944488332897888,0.120713129597371,0.0888902222052112,0.0541686666159269,0.0083334999944781,0.091471095243746,,,,,,,0.0458369999978458,,,,
166,2,setGenJarDir,0.0416670000413432,0.0166719999397173,0.0812542499625122,0.2036707447749344,0.2283272882683732,0.0731508888873375,0.0682069487386167,,,,,,,0.0194443333505963,,,,
317,1,setGenJarDir,0.0866684667028796,0.1093498332645846,0.0977121333433993,0.1245903608779482,0.1669257244807697,0.0759944881110207,0.0619660255756241,,,,,,,0.0250005000270903,,,,
168,1,setGenJarDir,0.0388899999864709,0.1083299999590962,0.0611156666806587,0.0979137499671195,0.1148166111088355,0.0,0.0,,,,,,,0.0,,,,
319,2,setGenJarDir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,
186,0,setGenJarDir,0.0,0.0333375000045634,0.0333330000285059,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,
182,1,setGenJarDir,0.1296692231926471,0.049999500013655,0.0952412857233346,0.281685533254252,0.0,0.0,0.0606264083204829,,,,,,,0.0476217142921606,,,,
310,2,setGenJarDir,0.0,0.0333320000208914,0.0,0.0166709999321028,0.0,0.0,0.0,,,,,,,0.0,,,,
129,2,setGenJarDir,0.0569601043385615,0.0962150606439645,0.207878549077856,0.0943500535951378,0.2948988906553936,0.0729215000174006,0.0864125833232676,,,,,,,0.0,,,,
111,1,setGenJarDir,0.1102721785685258,0.0166675000000395,0.1049059117628047,0.2083439999939096,0.1023835238142747,0.0500059999903896,0.1916754999947442,,,,,,,0.0633360000007087,,,,
313,2,setGenJarDir,0.1745672105079344,0.0455588333182579,0.0601884222340433,0.1462266085762294,0.1480602166925865,0.0865514857193504,0.0721988681899594,,,,,,,0.0388909999940854,,,,
315,0,setGenJarDir,0.0352955882348503,0.0916662500239908,0.0794001091398635,0.0708365000173216,0.1389060000074095,0.0547649999997312,0.073959324970201,,,,,,,0.0,,,,
133,2,setGenJarDir,0.0888117904686146,0.0781298124638851,0.125856199123798,0.1281063290216124,0.19334057650401,0.0595267142634838,0.09839937238954,,,,,,,0.0222243333701044,,,,
143,2,setGenJarDir,0.0347718275864688,0.0238101428590848,0.135698750001029,0.1115386922767635,0.11112333330675,0.1104185000076539,0.0703103361299609,,,,,,,0.0,,,,
311,1,setGenJarDir,0.0166670000180602,0.0533350000390782,0.0858369777968618,0.065875595260877,0.1272529999185943,0.0,0.0611160832922905,,,,,,,0.0333340000361204,,,,
106,2,setGenJarDir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,
318,1,setGenJarDir,0.0999970000120811,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,
147,1,setGenJarDir,0.0811440259869838,0.0940501428475337,0.1402099084914165,0.1263845833600497,0.1047659880991669,0.0333343333331868,0.0898483857119731,,,,,,,0.0166659998940303,,,,
191,0,setGenJarDir,0.0866717857707823,0.058887800007748,0.1220480341712983,0.2002101429444291,0.1116672499570993,0.0611123332572685,0.0596336333158735,,,,,,,0.0166670000180602,,,,
