Participant,Quality,Method,functiondeclaration_FC,conditional_statement_FC,parameter_FC,variable_declaration_FC,loop_FC,argument_FC,functioncall_FC,externallydefinedvariableorfunction_FC,conditionalblock_FC,return_FC,exceptionhandling_FC,comment_FC,externalclass_FC,variable_FC,assignment_FC,literal_FC,operator_FC,operation_FC
129,2,getMenuAdministracion,60.0,22.0,,,,,,,61.0,1.0,,2.0,,,,,,
313,2,getMenuAdministracion,12.0,17.0,,,,,,,83.0,7.0,,2.0,,,,,,
314,2,getMenuAdministracion,63.0,19.0,,,,,,,50.0,0.0,,0.0,,,,,,
139,0,getMenuAdministracion,32.0,26.0,,,,,,,84.0,5.0,,0.0,,,,,,
168,1,readFromFile,0.0,,0.0,2.0,,,9.0,1.0,,,0.0,,,2.0,0.0,,,
311,2,readFromFile,2.0,,0.0,37.0,,,0.0,9.0,,,3.0,,,5.0,0.0,,,
314,0,readFromFile,7.0,,6.0,119.0,,,8.0,12.0,,,0.0,,,5.0,2.0,,,
191,0,readFromFile,10.0,,5.0,56.0,,,4.0,19.0,,,0.0,,,9.0,0.0,,,
189,0,readFromFile,0.0,,4.0,24.0,,,25.0,26.0,,,0.0,,,2.0,7.0,,,
312,0,readFromFile,0.0,,2.0,8.0,,,14.0,10.0,,,0.0,,,2.0,2.0,,,
315,0,getNAGString,32.0,60.0,11.0,38.0,82.0,,,,,16.0,,,,,,,,
143,1,getNAGString,47.0,22.0,5.0,19.0,25.0,,,,,9.0,,,,,,,,
147,1,getNAGString,61.0,27.0,25.0,8.0,50.0,,,,,18.0,,,,,,,,
189,1,getNAGString,9.0,48.0,2.0,11.0,101.0,,,,,21.0,,,,,,,,
317,2,makeUniqueParagraphForGlobalWithLength,4.0,0.0,1.0,10.0,33.0,0.0,5.0,0.0,,,,,,,,,,
318,1,makeUniqueParagraphForGlobalWithLength,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,
117,2,testOneTwoThreeCreateCycle,17.0,,,11.0,,1.0,23.0,,,,0.0,,,3.0,,,,
166,1,testOneTwoThreeCreateCycle,2.0,,,8.0,,20.0,42.0,,,,0.0,,,0.0,,,,
317,2,testOneTwoThreeCreateCycle,18.0,,,42.0,,54.0,53.0,,,,10.0,,,0.0,,,,
