pid,public.0,void.0,BFSdist.0,Node.0,n.0,Vector.0,ToDo.0,int.0,indirConn.0,Node.1,n2.0,=.0,nan.0,for.0,Enumeration.0,es.0,=.1,n.1,adjEdges.0,elements.0,es.1,hasMoreElements.0,n2.1,=.2,n.2,adjNode.0,Edge.0,es.2,nextElement.0,if.0,n2.2,dist.0,<.0,0.0,n2.3,dist.1,=.3,n.3,dist.2,+.0,1.0,indirConn.1,n2.4,dist.3,++.0,// important add adds to the end of the list.200,ToDo.1,add.0,n2.5,if.1,ToDo.2,isEmpty.0,n2.6,=.4,Node.2,ToDo.3,remove.0,0.1,BFSdist.1,n2.7,ToDo.4,indirConn.2,code,participant_summary
133,0,0.06166820004582405,0.022222333277265232,0,0.058333000051788986,0.041668166716893516,0,0.01666199997998774,0,0,0.016667000018060207,0.016667000018060207,0.1500049999449402,0,0.04166774998884648,0,0.016667000018060207,0.033337999833747745,0.026668000034987926,0.0750034999800846,0.05833100003656,0.016667000018060207,0,0,0.016667000018060207,0.021296888900299866,0,0.016667000018060207,0.025001499918289483,0,0,0.027778666621694963,0,0,0,0.038890333380550146,0,0.019444333311791222,0,0,0,0.03889199998229742,0,0.024999500019475818,0,0,0,0,0,0,0.02083674998721108,0,0,0,0,0.0333339999585102,0.04166807687411515,0,0.03889066667761654,0.03333566663786769,0,0,0.8151819772954861,0.15152127273507754
143,0.016669499993440695,0.022917374997632578,0.01666833333244237,0.06666674998996314,0.016665999981341884,0.023334399989107624,0.04583499999716878,0.016666999988956377,0.030555499994079582,0.014583500000298955,0.011110999999800697,0.016666999988956377,0.03166900000651367,0,0.024075277786727786,0.016667000018060207,0.016666000010445714,0,0.027085999987320974,0.03333499998552725,0,0,0.033337000000756234,0,0.016671999997925013,0.025001500005600974,0.033334000007016584,0.016667000018060207,0,0,0.020833333333333332,0,0.016667000018060207,0,0.016666999988956377,0.03333340000244789,0,0,0.016663999995216727,0,0,0.022224666657469545,0,0.016666000010445714,0.016665999981341884,0,0,0,0,0,0.06667050001851749,0,0,0,0,0,0.024999999994179234,0,0.027778666670201346,0,0,0,0.8004219374997774,0.4464448095351968
311,0.022918874979950488,0.02500049996888265,0.024999999965075403,0.027780444438879687,0,0.05000450002262369,0.02666919999755919,0.016667500021867454,0,0.04166869999608025,0.02857228571416012,0,0.055559666633295514,0.024999999965075403,0.040742333344597786,0,0,0,0,0,0,0,0.0166680000256747,0.02333339999895543,0.05000000004656613,0.01904800002064024,0,0,0,0,0.016665500006638467,0.05000300004030578,0,0,0,0.0249982500099577,0,0,0.02222366665955633,0,0,0.016667000018060207,0,0,0,0,0.05625100003089756,0.04444566667856028,0.02500349999172613,0,0.03846330767891441,0,0,0,0.016668999916873872,0.02666859996970743,0,0,0,0,0,0,0.5659936875066099,0.37419676470716356
314,0,0.05555600001631925,0.01666799999657087,0,0.033333999977912754,0,0,0,0,0.016658000007737428,0.016668999975081533,0,0,0,0.045457090902015225,0,0,0,0.01666649998514913,0.016666999988956377,0,0.016666999988956377,0,0,0,0.06667166665041198,0,0,0.016666666672487434,0,0,0.09583899999415735,0,0,0,0,0,0,0,0,0,0.016667000003508292,0,0.016670000011799857,0,0,0,0,0,0,0,0,0,0,0,0,0.03333300002850592,0,0,0,0,0,1.0359399230823887,0.1133399999991525
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06667100000777282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06395245652516757,0.08408259701265244
318,0,0,0.022223999995427828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333200002089143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166664999560453,0,0,0,0.016673000005539507,0,0,0,0.08333500003209338,0,0,0,0.09583500000978044,0.08889213333216807
147,0,0,0.03846361534669995,0.026191999986102537,0.01666766661219299,0.027194000002437907,0.07500433328095824,0.016666999959852546,0,0,0.023333400022238493,0,0,0,0.03958581250481075,0.02499899995746091,0,0.02916999999433756,0.04803947059382849,0.03333300002850592,0,0,0,0,0.01666799990925938,0.03916860001045279,0.02083450002828613,0,0.01665800006594509,0,0,0.029166500025894493,0,0,0.016666000010445714,0.016666999901644886,0,0,0,0,0,0.04792087501846254,0,0.016670000040903687,0,0,0,0.03000440001487732,0,0,0,0,0,0.016666000010445714,0.02500200003851205,0,0.016666000010445714,0,0.0694458333697791,0,0.01665899995714426,0,1.025577516152313,0.2747795833210047
191,0,0.0416749999858439,0.0500009999377653,0,0,0,0,0,0,0,0.033337999950163066,0.016666999901644886,0.027778333363433678,0,0.02500166662503034,0,0,0,0.05000449996441603,0,0,0.03333500004373491,0,0,0,0.05278000000786657,0,0,0.01667100004851818,0,0,0.03500040003564209,0,0,0,0.025000000023283064,0.016666000010445714,0,0.04166949994396418,0,0,0.016666799993254246,0,0,0,0,0.026669599988963455,0.06667099997866899,0,0,0.055555999996916704,0.027780666675729055,0.0333329999120906,0,0.058336000016424805,0.03333300002850592,0.03333499998552725,0,0.030555833305697888,0.033337000058963895,0.008333000005222857,0,0.595439299987629,0.7937720000045374
189,0,0,0.016668199992273,0,0,0,0,0,0,0,0,0.01667099999031052,0.021969818184681408,0.02083249999122927,0.03484989090727388,0.016666000010445714,0.024999125005706446,0.016667999982018955,0.034376275000249736,0.022222888885557443,0.02166739998792764,0.025000499983434565,0,0.016671999997925013,0.026667000021552666,0.041667624998808606,0.046668999991379675,0.03666839998913929,0.01666750000731554,0,0.016666999988956377,0.03690642856443966,0,0.033339999994495884,0,0.016666666662786156,0.016666000010445714,0.025001249989145435,0.016666999988956377,0,0.016667000003508292,0.016666000010445714,0,0,0,0,0.08334200002718717,0.06667299999389797,0,0,0,0,0,0.016666000010445714,0,0,0,0,0.016666999988956377,0.016666000010445714,0.024999500004923902,0.01666750000731554,1.206296840913472,0.10869847826340803
316,0,0,0.04166833333025958,0.03194566667176938,0.0500025000073947,0.03888866666238755,0.01666649998514913,0.02857299997205181,0.033333750019664876,0,0.01666650001425296,0,0.01666649998514913,0,0.04062675000022864,0.016666666662786156,0,0,0.029825684210089475,0,0,0,0,0,0.016667000018060207,0.034524785716452504,0.016666999959852546,0,0,0,0,0.029167500004405156,0.016668999975081533,0,0,0.027779999984583508,0,0.01666500000283122,0.03055649998714216,0,0,0.016666000010445714,0,0,0,0,0,0.016667000018060207,0,0,0.016666333346317213,0.033334750012727454,0,0,0,0.016667500021867454,0.06666899999254383,0,0.03333216666942462,0.02500049999798648,0.027778333344031125,0.02500049996888265,0.43415354217012714,0.3402574390255301
139,0,0.03333320000019739,0.0540717441860558,0.04375191666713363,0,0.04107335714291237,0.08055816666607522,0.044446833333495306,0,0.02222333333338611,0.03148244444471655,0.02916650000042864,0.024075222222462698,0.03333500000007916,0.035569682926906376,0.06666649999988294,0.016666333332977956,0.0333360000004177,0.02857250000033673,0.04687687499972526,0.03611533333302456,0.04848754545458756,0.034028500000204076,0.016666999999870313,0.008335999999872001,0.03397511538451699,0.038334000000213565,0.016666999999870313,0.027778666666563367,0.10834000000068045,0.016666999999870313,0.03728189473699067,0.033337666667042264,0,0,0.038889666666364064,0.049999999999272404,0.025000000000545697,0.02500140000011015,0,0.022222000000207725,0.04924477272726852,0.06666600000062317,0,0,0,0.03690785714258839,0.027779499999572483,0,0,0.042594000000260875,0.033975923076818265,0.016665999999531778,0,0.025641692307824718,0.02424290909105118,0.05833583333333081,0,0.030001799999930277,0.016665999999531778,0.037500249999993684,0.016666499999701045,0.6373817118644908,0.31117237499993927
