pid,public.0,boolean.0,add.0,Date.0,date.0,if.0,dates.0,contains.0,date.1,return.0,FALSE.0,boolean.1,added.0,=.0,FALSE.1,for.0,int.0,i.0,=.1,0.0,i.1,<.0,dates.1,size.0,&&.0,added.1,i.2,Date.1,nextDate.0,=.2,dates.2,get.0,i.3,if.1,date.2,before.0,nextDate.1,dates.3,add.1,i.4,date.3,added.2,=.3,TRUE.0,if.2,added.3,dates.4,add.2,date.4,return.1,TRUE.1,code,participant_summary
129,0,0.016667000018060207,0.03611533333120557,0.047225499991327524,0,0,0,0.02222166668313245,0,0.06111366666542987,0.04444500002621984,0,0.04166825000720564,0.016668499971274287,0.05000149999978021,0,0,0,0,0.0166680000256747,0,0,0.021667600004002453,0.12083650002023205,0,0,0,0,0.04166925002937205,0,0.12083900001016445,0,0,0,0.07500420000869781,0.02361166666378267,0,0.1000000000349246,0,0,0,0,0,0,0,0,0.09167199995135888,0.04166700004134327,0.0166680000256747,0,0,0.5308533249946776,0.14625465000863186
111,0.0166659999958938,0.0548270000006979,0.030554166665145505,0,0,0,0.03333500000007916,0,0,0,0,0.0428573571407469,0.016666333331765298,0,0.041670250006063725,0.03333500000007916,0.03333299999212613,0,0.041666500008432195,0,0.027777666657736216,0,0.04166725000686711,0,0,0,0,0.038891666665828474,0.029167249998863554,0,0.033332499995594844,0,0,0,0,0,0,0.0166659999958938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7250273636362347,0.10208699999930104
313,0.04444466668064706,0.029630999999224313,0.01999999999534339,0.025000250003358815,0,0.08333799996762536,0.06250287501097773,0.06111233335104771,0,0.005555333336815238,0,0.027779666663263924,0,0,0.016666000010445714,0.016667000018060207,0.03333419999689795,0.016666000010445714,0,0.06667000000015832,0.016669999982696027,0,0.025000000023283064,0.033334499996271916,0.03889099999408548,0.03125199999703909,0,0.03749974998936523,0.022221999989900116,0.016667000018060207,0.04666859999997541,0,0,0.06250249998265645,0.03703888888897685,0.038890533331626405,0.03571571428827675,0.041667299997061494,0.033336142859687765,0.0333379999792669,0,0.05666859999182634,0,0.016667000018060207,0,0.08333399999537505,0.043335800006752835,0.02916800001548836,0,0,0,0.5723910789445079,0.290677800005069
315,0,0,0.026666600012686104,0,0.016666999959852546,0,0.03809771427352514,0.02037161110719252,0.016667000018060207,0.047620857159407545,0.03066780000459403,0,0.01666650001425296,0,0.033333999977912754,0,0,0.02222283332957886,0.01666649998514913,0.01666799999657087,0.016666999988956377,0,0.03000139999203384,0.02500283333938569,0.01666650001425296,0.01666650001425296,0,0,0.04351988888487944,0.016667000018060207,0.033332499995594844,0.03125062500475906,0,0,0.016666000010445714,0.036667399981524795,0.016666999959852546,0.03333424997981638,0.03611274997335082,0.02222166668313245,0.03333599999314174,0.016667750023771077,0.016671999997925013,0.024075555524581835,0,0,0,0.020833250004216097,0,0,0.03333350003231317,0.4489747656216423,0.27943471604871944
133,0,0.03571700002066791,0.03452457138337195,0.02500050002709031,0,0,0.036906285726997466,0.045834499943469255,0,0.027084625035058707,0.03334149997681379,0.027778333363433678,0.01999899996444583,0,0.08055799997722109,0,0.03166770003736019,0.036110666735718645,0.033334000036120415,0.045838499907404184,0.027780333223442238,0.02500050002709031,0.03466847999021411,0,0.016670499928295612,0,0,0.05000000004656613,0.047223999979905784,0,0.02777966666811456,0,0,0,0.05611353331866364,0.023335049976594746,0,0.0461128000014772,0.03750200000857668,0.01666599977761507,0,0.033338333324839674,0,0.02083624998340383,0,0.06500519998371601,0.041178411776747775,0.040001400047913194,0,0.019445166690275073,0,0.5133528363679282,0.2750104504431858
143,0,0.029167999993660487,0.041667999990750104,0.022223166670300998,0,0,0.023334000000613742,0.028206461536823414,0,0.029167500011681113,0.04047842858043233,0,0.023810714300322746,0,0.03333420000853948,0,0.016668499985826202,0,0,0,0,0,0.03000120000215247,0.03333299999940209,0.036115333350608125,0.03333299999940209,0,0,0,0,0,0.016666000010445714,0,0,0.026667000009911134,0.03333299999940209,0,0.03333424999436829,0.052779000000252076,0,0,0,0,0,0,0,0.04722399999607458,0.03750099998433143,0,0.03333249998104293,0,0.5284751951211791,0.2666762777775552
311,0.01667399995494634,0.03763590323843903,0.02179561539266545,0.025927000006453857,0,0,0.03750050000962801,0.027779333332243066,0,0.02333389997947961,0,0.016667000018060207,0.04166699998313561,0,0.027777666652885575,0,0.016667000018060207,0,0,0,0,0,0,0,0,0,0,0.033337999950163066,0,0,0,0,0,0,0.025000000023283064,0.028572000030960356,0,0.013333999970927834,0,0,0,0.016672000056132674,0,0,0.016666999901644886,0,0.03333299997029826,0,0,0,0,0.5921057999978074,0.4724137499870267
314,0,0.016666499999701045,0.02666859998716973,0,0.03333299999940209,0,0.016667000018060207,0.06667200001538731,0,0.029631111114415236,0.04166800000530202,0,0.06000060000806116,0,0.06667224998091115,0,0,0.01666500000283122,0,0.0416689999983646,0,0,0.052085625007748604,0,0,0,0,0,0.021970454545225948,0,0.04027875000853479,0.016667000018060207,0,0,0.06666875000034149,0.03166889999702107,0.03889033333204376,0,0.03333750000456348,0,0,0.016666666662786156,0,0,0,0.016666499999701045,0.06667000000015832,0,0,0,0,0.5006998979607692,0.3535228947370534
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053333800000837074,0.08214542856564679
318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04999700002372265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10417187498387648,0.10392494116540012
147,0,0.024404857149680277,0.030556500006544713,0.035718142886513045,0,0,0.03833399997092783,0,0,0,0,0.03333350003231317,0.016670000040903687,0,0,0,0.016667000018060207,0,0.03333350003231317,0,0,0,0.03333375000511296,0.016667000018060207,0.016666000010445714,0.033334000036120415,0,0,0.038891333349359535,0,0.008333000005222857,0,0,0,0.05555500000870476,0.012500000011641532,0,0.040477000027229745,0.023335600015707315,0,0,0,0,0,0,0.022222666651941836,0.016666000010445714,0.01667400007136166,0,0.016667000018060207,0.016667000018060207,0.7605570526119616,0.3046993333409773
191,0,0.025007500022184104,0.02777666668407619,0,0,0,0.016667000018060207,0,0,0.016668499971274287,0.025002999987918884,0,0.06666599994059652,0.01666500000283122,0.016667000018060207,0,0.031251999986125156,0,0,0.0500025000073947,0,0,0.03055719998665154,0,0,0,0,0,0.05333300000056625,0,0.025001749978400767,0,0,0,0,0.026192428577425226,0,0.021667600004002453,0.023811571416445076,0.024999999906867743,0,0.016666666643383603,0.016667000018060207,0.016667333353931706,0,0,0.036276294117081255,0.04167000002538165,0,0,0,0.3435838285933382,0.21838430768828124
189,0,0,0.025003999995533377,0.02500149999104906,0.016666999988956377,0,0.016666999988956377,0.019047714283390502,0.029168000008212402,0.01999999999534339,0.04000226667073245,0,0,0.016666999988956377,0.016666000010445714,0,0.016666499999701045,0,0,0.020834999995713588,0.016667000018060207,0,0,0,0,0,0,0.01666649998514913,0.031350428578055776,0.016667000018060207,0.027780333320455004,0.0666699999710545,0,0,0.022224333331299324,0.028333799995016305,0.025642153838327013,0.03611166666572293,0,0.016665999981341884,0,0,0,0.016666000010445714,0,0,0.03000080002238974,0.028788545459974557,0,0,0.025002499998663552,0.5787854032255821,0.16402281817863695
316,0,0.016667000018060207,0.00555599998915568,0.025003333343192935,0,0,0,0.031944583325336375,0,0,0,0,0.016671999997925013,0,0.04166600003372878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04444599999502922,0,0,0,0,0,0.033332500024698675,0.016667000018060207,0,0,0,0,0,0,0,0,0,0.027778000008159626,0,0,0,0,0,0.3782982424229637,0.31263878788961325
139,0,0.07000480000060634,0.04469809090948151,0.031945083333539515,0,0,0.030769923076849618,0.04924354545453918,0.0416680000002998,0.03333250000014232,0.024999999999636202,0.03888866666602553,0.03291700000017954,0,0.0333360000004177,0,0.1166704999996,0,0,0.020833499999753258,0,0,0.06771024999989095,0,0,0,0,0,0.057500400000208174,0,0.06666766666724773,0.016666999999870313,0,0,0.05000400000062655,0.025002499999573047,0,0.05625350000036633,0.016665999999531778,0,0,0.025001000000884233,0,0,0,0.03333445454518369,0.02916724999977305,0.037502499999845895,0.0333360000004177,0.016666999999870313,0.024999999999636202,0.48721992857138374,0.9750332857144842
