pid,public.0,void.0,appendDeclarations.0,LaTeXDocumentPortion.0,pack.0,LaTeXDocumentPortion.1,decl.0,if.0,bContainsEndnotes.0,pack.1,append.0,"""\\usepackage{endnotes}"".0",).0,nl.0,if.1,bContainsFootnotes.0,convertFootnotesConfiguration.0,decl.1,if.2,bContainsEndnotes.1,convertEndnotesConfiguration.0,decl.2,code,participant_summary
310,0,0,0,0,0,0,0,0,0.016667000018060207,0,0.03611200002099698,0,0,0,0,0.03000099998898804,0.016666000010445714,0,0,0.016667000018060207,0.016667000018060207,0,0.4333503636298701,0.2750129999476485
111,0.03750116667652037,0.04814922222511894,0.06785876190475565,0.04166799999802606,0,0.060417999997298466,0,0.016668000011122786,0.0458352499990724,0.030001999996602535,0.022221999999601394,0,0,0,0.11667099999613129,0.050695833334126895,0.03854387499814038,0,0,0,0,0,1.1449326129002129,0.27024771428425864
313,0,0.03541862500787829,0.034258833336126476,0.028572285718317807,0.016670000011799857,0.029546136367240582,0,0,0.0329798085136993,0.016669666666227084,0.020833875001699198,0.04208472499958589,0,0,0,0.029167916664543252,0.044446037039893714,0,0,0.029167833333000697,0.030000500002643093,0,0.6870882894754208,0.2865700000012669
315,0,0,0.0349219999847091,0.037039555544551045,0,0.03333766669190178,0,0,0.024167949991533533,0,0.03452549999929033,0.050001333320757284,0.03333500001463108,0,0,0.03148338888745962,0.0606066363662566,0,0,0.016667000018060207,0.04722424998666005,0,0.8213847187416832,0.12042132500209846
133,0,0.031250250060111284,0.03416720000095665,0.030952428567356298,0,0.036110666658108435,0,0,0.018939272733405232,0.016667000018060207,0,0.020001000026240945,0.058332999935373664,0,0,0.03333300002850592,0.0166680000256747,0,0,0,0.07500499999150634,0,2.3303929090880873,0.24853923525113394
143,0,0.027777999998458352,0.03611226190349996,0,0,0,0,0,0.02395812500253669,0.02500233334527972,0.013333200005581603,0.029167375003453344,0,0,0,0.02833409999147989,0.02692415384360804,0,0,0.03333299999940209,0,0,0.8093786585334938,0.6338796875024855
311,0,0.04047728571042951,0.03518738889316511,0,0,0,0,0,0.038543187503819354,0,0,0.03787990908180787,0,0.016667000018060207,0,0.03889066667761654,0,0,0,0,0,0,0.6201778837198089,0.30494157747450795
314,0,0,0.032222999995186304,0,0,0,0,0,0.048959312503939145,0,0.0166659999958938,0.022225333329212543,0,0,0,0.02777933334679498,0.04285842857955556,0,0,0.030556999990949407,0.025005500006955117,0,0.47401756000006573,0
106,0,0.03333499998552725,0.05581006060872989,0.03690664285386447,0,0.03958625000086613,0,0,0.03214292857904054,0.016667000003508292,0,0.04666799999540672,0,0,0,0.06111283334030304,0.0405322727271017,0,0,0,0.016667000018060207,0,1.6897322000004351,0.6079770909087859
318,0,0,0.020835999996052124,0.025002499984111637,0,0,0,0,0.02916749998985324,0.016666000010445714,0,0.030556083351257257,0.016665999952238053,0,0,0.033337000000756234,0,0,0,0.024999999994179234,0,0,0.1568841587360357,0.20278579999964375
147,0,0.02500066669502606,0.042309897435375325,0.016666999959852546,0,0,0,0,0.033621655174948535,0.016666000010445714,0.05833725002594292,0.07333560000406578,0,0.016667000018060207,0,0.07500300003448501,0.03284417647484909,0,0,0,0,0,1.080645275860222,0.27421197260742725
191,0,0.024999999965075403,0.026191571419725994,0.030208749987650663,0.027778333285823464,0.0187525000073947,0,0,0.0430583333169731,0.01666650001425296,0.03749966666024799,0.027976642853380845,0.016666999901644886,0.0166680000256747,0.025013000005856156,0.038334800000302496,0.025379227262667635,0,0,0.008333499950822443,0.012499999982537702,0,0.4520798857113169,0.2555646153781802
189,0,0,0,0,0,0,0,0,0.025758727273734457,0,0.023612333340376306,0.02701217241300238,0.06667499998002313,0.03095271429629065,0,0.04469809090986735,0.036112714292747636,0,0,0.027565461543137923,0.02063604762190066,0,1.024101408447293,0.09693337894767817
316,0,0,0.04166805001004832,0.049999000038951635,0,0,0,0,0.028788727284832435,0.02619214286096394,0.027779666658413287,0.02619071429528828,0,0,0,0.039745230767249055,0.027780666675729055,0,0,0.05263373685547298,0,0,0.6023383055516105,0.3992399302362681
139,0,0.016666999999870313,0.04420473913017739,0.024538111110915552,0.04999899999893387,0.043211185185134164,0,0,0.053400077669844837,0.016666666667030466,0.03846349999996444,0.06421852941179275,0.08333600000029644,0.15833999999995285,0,0.044392750000042724,0.0409866545455357,0.04166900000018359,0,0.051565281249907,0.045219836065549975,0,1.056064808510684,1.7449067619046608
